"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","air-force","2001-09-01","","Oklahoma","L (3-44)",14,31,45.2,161,2,35,237,6.8,2,66,398,6,7,13,1,21,8,70,2,1,3
"2","air-force","2001-09-08","","Tennessee Tech","W (42-0)",15,27,55.6,206,0,35,62,1.8,0,62,268,4.3,7,5,2,14,5,21,0,1,1
"3","air-force","2001-09-29","@","San Diego State","W (45-21)",14,27,51.9,199,0,36,204,5.7,3,63,403,6.4,8,13,0,21,3,32,2,2,4
"4","air-force","2001-10-06","@","Navy","W (24-18)",13,20,65,189,1,50,223,4.5,1,70,412,5.9,7,11,2,20,6,80,1,1,2
"5","air-force","2001-10-13","","Wyoming","W (24-13)",21,47,44.7,327,1,33,189,5.7,0,80,516,6.5,14,11,2,27,5,49,1,1,2
"6","air-force","2001-10-20","@","Brigham Young","L (33-63)",27,43,62.8,408,5,37,203,5.5,4,80,611,7.6,20,8,1,29,4,29,0,0,0
"7","air-force","2001-10-27","@","New Mexico","L (33-52)",20,41,48.8,324,3,57,296,5.2,2,98,620,6.3,16,16,0,32,6,55,1,2,3
"8","air-force","2001-11-03","","Army","W (34-24)",26,43,60.5,256,1,45,180,4,2,88,436,5,12,12,2,26,3,35,2,2,4
"9","air-force","2001-11-08","@","Colorado State","L (21-28)",6,8,75,116,0,35,184,5.3,3,43,300,7,4,9,0,13,3,30,1,1,2
"10","air-force","2001-11-17","","Nevada-Las Vegas","L (10-34)",7,19,36.8,138,0,42,215,5.1,3,61,353,5.8,6,10,0,16,1,15,2,1,3
"11","air-force","2001-11-24","@","Hawaii","L (30-52)",32,49,65.3,505,5,15,67,4.5,1,64,572,8.9,20,3,0,23,5,55,1,0,1
"12","air-force","2001-12-01","","Utah","W (38-37)",12,22,54.5,161,1,56,382,6.8,4,78,543,7,8,19,1,28,6,49,1,2,3
