"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","akron","2001-08-30","","Ohio","W (31-29)",9,11,81.8,104,0,60,339,5.7,3,71,443,6.2,5,25,1,31,4,40,0,0,0
"2","akron","2001-09-08","@","Ohio State","L (14-28)",17,29,58.6,289,2,56,236,4.2,2,85,525,6.2,15,12,0,27,3,30,2,1,3
"3","akron","2001-09-22","@","Purdue","L (14-33)",22,41,53.7,292,2,36,179,5,2,77,471,6.1,11,8,2,21,9,84,0,2,2
"4","akron","2001-09-29","","Kent State","W (14-10)",17,26,65.4,193,1,45,162,3.6,0,71,355,5,10,10,1,21,5,33,2,0,2
"5","akron","2001-10-06","@","Western Michigan","L (14-31)",26,42,61.9,353,2,31,140,4.5,2,73,493,6.8,15,8,3,26,5,39,0,1,1
"6","akron","2001-10-13","@","Miami (OH)","L (27-30)",23,40,57.5,399,3,34,167,4.9,1,74,566,7.6,16,6,1,23,8,75,1,1,2
"7","akron","2001-10-20","","Bowling Green State","L (11-16)",13,22,59.1,133,1,45,131,2.9,1,67,264,3.9,6,7,2,15,6,51,1,0,1
"8","akron","2001-10-27","@","Marshall","L (33-50)",25,39,64.1,434,4,36,292,8.1,3,75,726,9.7,17,10,4,31,10,106,1,0,1
"9","akron","2001-11-03","@","Central Florida","L (17-57)",18,28,64.3,405,4,33,132,4,4,61,537,8.8,15,6,2,23,14,145,0,0,0
"10","akron","2001-11-17","@","Buffalo","W (41-14)",14,31,45.2,140,1,34,153,4.5,1,65,293,4.5,8,9,3,20,4,33,0,3,3
"11","akron","2001-11-24","","Eastern Michigan","W (65-62)",27,50,54,392,6,36,111,3.1,2,86,503,5.8,21,5,0,26,6,49,0,3,3
