"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","arizona-state","2001-09-08","","San Diego State","W (38-7)",10,29,34.5,102,0,35,88,2.5,1,64,190,3,4,4,3,11,11,104,1,1,2
"2","arizona-state","2001-09-22","@","Stanford","L (28-51)",22,33,66.7,325,4,44,223,5.1,3,77,548,7.1,12,9,2,23,9,79,0,0,0
"3","arizona-state","2001-09-29","","San Jose State","W (53-15)",24,40,60,272,1,24,63,2.6,1,64,335,5.2,14,4,3,21,7,56,3,2,5
"4","arizona-state","2001-10-06","","Louisiana","W (63-27)",22,47,46.8,252,1,32,114,3.6,2,79,366,4.6,11,6,1,18,9,62,1,1,2
"5","arizona-state","2001-10-13","@","Southern California","L (17-48)",18,26,69.2,295,3,43,118,2.7,3,69,413,6,10,9,0,19,7,69,1,0,1
"6","arizona-state","2001-10-20","","Oregon State","W (41-24)",23,39,59,238,2,32,79,2.5,1,71,317,4.5,8,6,1,15,8,40,1,0,1
"7","arizona-state","2001-10-27","","Washington","L (31-33)",19,36,52.8,252,2,41,188,4.6,2,77,440,5.7,13,11,3,27,6,46,0,1,1
"8","arizona-state","2001-11-03","@","Oregon","L (24-42)",19,32,59.4,319,6,39,155,4,0,71,474,6.7,16,8,3,27,2,12,1,0,1
"9","arizona-state","2001-11-10","","Washington State","L (16-28)",14,29,48.3,289,3,37,97,2.6,0,66,386,5.8,11,6,1,18,10,66,1,2,3
"10","arizona-state","2001-11-23","","Arizona","L (21-34)",18,29,62.1,225,2,44,163,3.7,2,73,388,5.3,14,9,2,25,7,67,0,1,1
"11","arizona-state","2001-12-01","@","UCLA","L (42-52)",21,38,55.3,299,3,48,237,4.9,4,86,536,6.2,15,9,3,27,4,55,0,1,1
