"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","arizona","2001-08-30","@","San Diego State","W (23-10)",18,38,47.4,160,0,29,41,1.4,1,67,201,3,12,1,1,14,6,40,3,0,3
"2","arizona","2001-09-08","","Idaho","W (36-29)",30,49,61.2,366,4,37,113,3.1,0,86,479,5.6,15,8,6,29,10,91,1,1,2
"3","arizona","2001-09-22","","Nevada-Las Vegas","W (38-21)",7,20,35,156,1,37,124,3.4,1,57,280,4.9,6,4,1,11,12,105,2,0,2
"4","arizona","2001-09-29","","Washington State","L (21-48)",17,33,51.5,283,2,51,138,2.7,3,84,421,5,12,8,4,24,7,54,1,1,2
"5","arizona","2001-10-06","","Oregon","L (28-63)",19,29,65.5,325,3,51,282,5.5,6,80,607,7.6,15,13,0,28,8,75,0,1,1
"6","arizona","2001-10-13","@","Oregon State","L (3-38)",17,34,50,220,2,49,195,4,2,83,415,5,11,9,4,24,11,86,0,2,2
"7","arizona","2001-10-20","@","Washington","L (28-31)",29,49,59.2,455,3,28,83,3,1,77,538,7,19,6,1,26,11,95,1,4,5
"8","arizona","2001-10-27","","Southern California","L (34-41)",24,49,49,248,2,30,64,2.1,1,79,312,3.9,10,6,2,18,4,21,0,2,2
"9","arizona","2001-11-03","@","California","W (38-24)",14,39,35.9,239,2,46,115,2.5,1,85,354,4.2,7,13,5,25,11,112,1,1,2
"10","arizona","2001-11-10","","Stanford","L (37-51)",13,23,56.5,169,3,55,276,5,1,78,445,5.7,9,12,0,21,6,40,1,0,1
"11","arizona","2001-11-23","@","Arizona State","W (34-21)",16,37,43.2,217,1,33,113,3.4,2,70,330,4.7,10,8,2,20,7,51,1,2,3
