"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","arkansas-state","2001-09-01","@","Georgia","L (17-45)",26,38,68.4,386,3,39,212,5.4,3,77,598,7.8,17,10,2,29,10,89,1,0,1
"2","arkansas-state","2001-09-08","@","Baylor","L (3-24)",14,31,45.2,192,1,45,175,3.9,1,76,367,4.8,10,6,2,18,6,40,1,1,2
"3","arkansas-state","2001-09-22","","Jacksonville State","L (28-31)",10,20,50,124,1,66,324,4.9,3,86,448,5.2,9,17,0,26,6,55,0,1,1
"4","arkansas-state","2001-10-06","","Mississippi","L (17-35)",20,29,69,269,2,40,146,3.7,3,69,415,6,13,8,3,24,4,49,2,0,2
"5","arkansas-state","2001-10-13","","Louisiana","W (26-20)",29,40,72.5,261,2,28,119,4.3,1,68,380,5.6,13,7,1,21,10,71,2,1,3
"6","arkansas-state","2001-10-20","@","North Texas","L (0-45)",6,10,60,143,2,49,134,2.7,4,59,277,4.7,4,8,3,15,6,52,1,0,1
"7","arkansas-state","2001-10-27","","Idaho","W (34-31)",34,55,61.8,406,3,34,125,3.7,1,89,531,6,17,8,2,27,10,72,2,1,3
"8","arkansas-state","2001-11-03","@","Middle Tennessee State","L (6-54)",11,19,57.9,131,2,50,301,6,5,69,432,6.3,8,15,2,25,7,79,0,0,0
"9","arkansas-state","2001-11-10","@","New Mexico State","L (17-28)",11,18,61.1,161,0,37,215,5.8,3,55,376,6.8,8,9,0,17,3,13,3,0,3
"10","arkansas-state","2001-11-17","","Louisiana-Monroe","L (7-16)",14,23,60.9,179,0,32,82,2.6,1,55,261,4.7,7,3,0,10,5,36,0,0,0
"11","arkansas-state","2001-11-22","","Nicholls State","L (22-28)",9,15,60,173,2,65,172,2.6,1,80,345,4.3,8,9,2,19,10,70,3,1,4
