"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","arkansas","2001-08-30","","Nevada-Las Vegas","W (14-10)",4,16,25,40,1,54,258,4.8,0,70,298,4.3,2,8,1,11,10,65,1,3,4
"2","arkansas","2001-09-08","","Tennessee","L (3-13)",13,17,76.5,136,0,55,183,3.3,1,72,319,4.4,6,14,0,20,6,57,1,0,1
"3","arkansas","2001-09-22","@","Alabama","L (10-31)",9,16,56.3,133,1,34,116,3.4,1,50,249,5,5,4,2,11,8,49,2,0,2
"4","arkansas","2001-09-29","@","Georgia","L (23-34)",20,38,52.6,298,2,43,161,3.7,2,81,459,5.7,13,7,7,27,13,122,0,1,1
"5","arkansas","2001-10-06","","Weber State","W (42-19)",28,48,58.3,315,3,33,112,3.4,0,81,427,5.3,15,6,2,23,5,48,1,1,2
"6","arkansas","2001-10-13","","South Carolina","W (10-7)",12,32,37.5,159,0,28,113,4,1,60,272,4.5,7,5,0,12,12,74,0,2,2
"7","arkansas","2001-10-27","","Auburn","W (42-17)",22,40,55,254,1,31,238,7.7,1,71,492,6.9,12,7,1,20,11,97,1,2,3
"8","arkansas","2001-11-03","@","Mississippi","W (58-56)",27,42,64.3,312,6,50,145,2.9,2,92,457,5,17,10,1,28,4,16,1,0,1
"9","arkansas","2001-11-10","","Central Florida","W (27-20)",22,44,50,304,1,25,65,2.6,1,69,369,5.3,15,3,3,21,11,96,1,1,2
"10","arkansas","2001-11-17","","Mississippi State","W (24-21)",17,31,54.8,192,1,30,65,2.2,1,61,257,4.2,6,6,1,13,7,45,0,3,3
"11","arkansas","2001-11-23","@","Louisiana State","L (38-41)",19,33,57.6,359,3,37,159,4.3,3,70,518,7.4,14,5,3,22,7,60,1,4,5
