"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","army","2001-09-08","","Cincinnati","L (21-24)",32,44,72.7,333,3,43,138,3.2,0,87,471,5.4,18,8,1,27,11,101,1,0,1
"2","army","2001-09-22","@","Alabama-Birmingham","L (3-55)",19,25,76,220,2,49,239,4.9,4,74,459,6.2,11,9,1,21,6,50,0,0,0
"3","army","2001-09-29","@","Boston College","L (10-31)",21,28,75,204,2,43,192,4.5,1,71,396,5.6,11,7,3,21,10,90,2,1,3
"4","army","2001-10-06","","Houston","W (28-14)",27,41,65.9,367,1,25,141,5.6,1,66,508,7.7,16,7,1,24,13,102,0,2,2
"5","army","2001-10-13","","East Carolina","L (26-49)",13,22,59.1,178,1,42,263,6.3,3,64,441,6.9,8,13,3,24,8,56,1,0,1
"6","army","2001-10-20","@","Texas Christian","L (20-38)",21,29,72.4,273,3,50,212,4.2,2,79,485,6.1,12,12,0,24,9,103,0,0,0
"7","army","2001-10-27","","Tulane","W (42-35)",25,39,64.1,384,3,46,135,2.9,2,85,519,6.1,16,8,3,27,1,11,3,1,4
"8","army","2001-11-03","@","Air Force","L (24-34)",10,17,58.8,132,0,47,150,3.2,3,64,282,4.4,6,9,1,16,3,37,1,0,1
"9","army","2001-11-10","","Buffalo","L (19-26)",17,30,56.7,185,1,46,150,3.3,1,76,335,4.4,8,13,2,23,7,45,0,0,0
"10","army","2001-11-17","@","Memphis","L (10-42)",13,22,59.1,233,4,40,138,3.5,2,62,371,6,7,10,2,19,5,27,2,1,3
"11","army","2001-12-01","N","Navy","W (26-17)",12,36,33.3,142,1,37,97,2.6,0,73,239,3.3,8,6,3,17,1,5,1,1,2
