"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","ball-state","2001-09-01","@","Auburn","L (0-30)",19,33,57.6,243,1,37,142,3.8,2,70,385,5.5,10,7,1,18,4,45,0,0,0
"2","ball-state","2001-09-08","@","Kentucky","L (20-28)",15,22,68.2,215,2,28,146,5.2,2,50,361,7.2,8,8,1,17,7,49,1,0,1
"3","ball-state","2001-09-22","","Northern Iowa","L (39-42)",15,26,57.7,213,2,32,124,3.9,2,58,337,5.8,11,6,2,19,8,60,2,0,2
"4","ball-state","2001-09-29","","Miami (OH)","L (20-28)",15,24,62.5,122,1,42,212,5,3,66,334,5.1,5,13,1,19,4,40,1,1,2
"5","ball-state","2001-10-13","@","Eastern Michigan","W (35-14)",19,41,46.3,193,2,34,160,4.7,0,75,353,4.7,8,8,1,17,5,54,1,2,3
"6","ball-state","2001-10-20","","Toledo","W (24-20)",27,44,61.4,270,1,29,70,2.4,1,73,340,4.7,15,6,0,21,14,139,2,1,3
"7","ball-state","2001-10-27","@","Connecticut","W (10-5)",22,39,56.4,189,0,27,52,1.9,0,66,241,3.7,12,4,1,17,2,10,1,1,2
"8","ball-state","2001-11-03","","Central Michigan","W (38-34)",22,51,43.1,279,2,47,254,5.4,2,98,533,5.4,14,12,1,27,8,68,0,2,2
"9","ball-state","2001-11-10","","Kent State","L (18-31)",5,14,35.7,95,1,37,309,8.4,3,51,404,7.9,4,12,1,17,5,45,0,0,0
"10","ball-state","2001-11-17","@","Northern Illinois","L (29-33)",14,26,53.8,217,1,40,124,3.1,2,66,341,5.2,9,8,1,18,3,45,0,1,1
"11","ball-state","2001-11-24","@","Western Michigan","W (35-31)",19,42,45.2,274,4,36,88,2.4,0,78,362,4.6,11,8,2,21,5,40,0,0,0
