"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","baylor","2001-09-08","","Arkansas State","W (24-3)",12,29,41.4,106,0,40,66,1.7,0,69,172,2.5,5,5,2,12,5,34,4,1,5
"2","baylor","2001-09-22","","New Mexico","W (16-13)",13,29,44.8,258,1,45,102,2.3,0,74,360,4.9,7,5,1,13,10,91,2,2,4
"3","baylor","2001-09-29","@","Iowa State","L (0-41)",24,29,82.8,330,4,48,179,3.7,1,77,509,6.6,16,10,1,27,6,50,0,1,1
"4","baylor","2001-10-06","@","Texas A&M","L (10-16)",21,36,58.3,260,0,46,116,2.5,1,82,376,4.6,10,10,1,21,8,69,2,0,2
"5","baylor","2001-10-13","","Nebraska","L (7-48)",4,9,44.4,47,0,73,641,8.8,7,82,688,8.4,3,27,1,31,4,32,5,0,5
"6","baylor","2001-10-20","@","Oklahoma","L (17-33)",32,44,72.7,343,1,39,60,1.5,3,83,403,4.9,15,9,4,28,8,75,1,0,1
"7","baylor","2001-10-27","","Texas Tech","L (19-63)",39,61,63.9,324,3,33,194,5.9,4,94,518,5.5,19,8,2,29,6,43,0,2,2
"8","baylor","2001-11-03","","Texas","L (10-49)",17,32,53.1,276,2,42,130,3.1,4,74,406,5.5,11,9,0,20,2,14,0,1,1
"9","baylor","2001-11-10","@","Missouri","L (24-41)",25,36,69.4,380,4,39,151,3.9,2,75,531,7.1,19,8,2,29,5,25,1,0,1
"10","baylor","2001-11-17","","Oklahoma State","L (22-38)",14,26,53.8,194,2,33,129,3.9,1,59,323,5.5,8,11,4,23,5,24,0,1,1
"11","baylor","2001-11-24","","Southern Illinois","W (56-12)",20,33,60.6,199,2,39,115,2.9,0,72,314,4.4,9,8,3,20,8,66,1,3,4
