"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","boston-college","2001-09-01","","West Virginia","W (34-10)",22,40,55,240,0,40,76,1.9,1,80,316,4,11,6,4,21,9,97,2,3,5
"2","boston-college","2001-09-08","@","Stanford","L (22-38)",15,30,50,232,4,43,160,3.7,1,73,392,5.4,8,13,0,21,5,30,1,0,1
"3","boston-college","2001-09-22","@","Navy","W (38-21)",4,9,44.4,124,1,51,177,3.5,2,60,301,5,4,9,2,15,5,45,1,2,3
"4","boston-college","2001-09-29","","Army","W (31-10)",11,29,37.9,108,1,36,154,4.3,0,65,262,4,4,7,2,13,7,68,0,2,2
"5","boston-college","2001-10-06","","Temple","W (23-10)",15,32,46.9,151,0,36,57,1.6,1,68,208,3.1,8,4,5,17,9,62,0,1,1
"6","boston-college","2001-10-13","@","Virginia Tech","L (20-34)",16,29,55.2,225,2,49,171,3.5,1,78,396,5.1,9,8,6,23,8,70,0,2,2
"7","boston-college","2001-10-20","","Pittsburgh","W (45-7)",14,35,40,108,0,32,122,3.8,1,67,230,3.4,4,5,2,11,4,36,0,2,2
"8","boston-college","2001-10-27","","Notre Dame","W (21-17)",12,23,52.2,116,2,59,233,3.9,0,82,349,4.3,5,15,3,23,5,38,1,1,2
"9","boston-college","2001-11-10","","Miami (FL)","L (7-18)",20,41,48.8,222,0,40,165,4.1,0,81,387,4.8,16,7,0,23,6,53,1,4,5
"10","boston-college","2001-11-17","@","Rutgers","W (38-7)",9,24,37.5,132,0,38,51,1.3,0,62,183,3,4,5,0,9,6,37,2,1,3
"11","boston-college","2001-11-24","@","Syracuse","L (28-39)",16,21,76.2,253,1,66,322,4.9,4,87,575,6.6,10,18,2,30,7,55,0,0,0
