"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","buffalo","2001-08-30","","Rutgers","L (15-31)",11,23,47.8,157,2,45,196,4.4,1,68,353,5.2,6,9,0,15,10,59,1,2,3
"2","buffalo","2001-09-08","@","Bowling Green State","L (0-35)",15,26,57.7,133,1,50,184,3.7,4,76,317,4.2,8,10,1,19,6,45,0,0,0
"3","buffalo","2001-09-22","@","Connecticut","W (37-20)",7,22,31.8,106,1,35,115,3.3,0,57,221,3.9,3,7,1,11,9,93,0,3,3
"4","buffalo","2001-09-29","","Central Michigan","L (8-16)",14,28,50,139,0,65,285,4.4,1,93,424,4.6,10,13,1,24,11,83,1,0,1
"5","buffalo","2001-10-06","@","Miami (OH)","L (14-31)",23,30,76.7,212,2,42,128,3,1,72,340,4.7,9,12,0,21,8,105,1,1,2
"6","buffalo","2001-10-13","","Marshall","L (14-34)",37,49,75.5,455,2,36,108,3,2,85,563,6.6,22,8,0,30,10,77,1,2,3
"7","buffalo","2001-10-20","@","Kent State","L (13-35)",15,19,78.9,194,2,41,238,5.8,2,60,432,7.2,9,11,1,21,10,114,1,0,1
"8","buffalo","2001-10-27","@","Eastern Michigan","L (20-24)",16,25,64,155,2,43,225,5.2,1,68,380,5.6,10,12,0,22,6,44,1,0,1
"9","buffalo","2001-11-03","","Ohio","W (44-0)",4,13,30.8,2,0,43,159,3.7,0,56,161,2.9,0,9,2,11,6,25,2,1,3
"10","buffalo","2001-11-10","@","Army","W (26-19)",27,45,60,272,1,27,96,3.6,2,72,368,5.1,12,8,1,21,4,45,0,3,3
"11","buffalo","2001-11-17","","Akron","L (14-41)",13,21,61.9,155,1,54,217,4,2,75,372,5,8,13,0,21,6,47,0,0,0
