"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","connecticut","2001-09-01","@","Virginia Tech","L (10-52)",21,30,70,323,3,46,283,6.2,4,76,606,8,15,13,1,29,7,66,0,0,0
"2","connecticut","2001-09-08","","Eastern Washington","L (17-35)",28,42,66.7,384,4,30,146,4.9,1,72,530,7.4,19,5,2,26,10,120,0,1,1
"3","connecticut","2001-09-22","","Buffalo","L (20-37)",23,41,56.1,237,1,45,149,3.3,3,86,386,4.5,12,8,5,25,6,50,2,0,2
"4","connecticut","2001-09-29","@","Rutgers","W (20-19)",12,28,42.9,132,2,50,130,2.6,0,78,262,3.4,8,7,3,18,11,125,1,2,3
"5","connecticut","2001-10-06","","Eastern Michigan","W (19-0)",20,40,50,160,0,28,31,1.1,0,68,191,2.8,10,2,0,12,9,64,2,2,4
"6","connecticut","2001-10-13","@","South Florida","L (21-40)",25,39,64.1,270,2,32,64,2,3,71,334,4.7,14,6,3,23,17,158,1,2,3
"7","connecticut","2001-10-27","","Ball State","L (5-10)",10,16,62.5,101,0,45,147,3.3,1,61,248,4.1,7,7,0,14,3,21,1,1,2
"8","connecticut","2001-11-03","@","Cincinnati","L (28-45)",13,27,48.1,245,1,52,243,4.7,4,79,488,6.2,10,9,1,20,5,55,2,1,3
"9","connecticut","2001-11-10","","Utah State","L (31-38)",20,31,64.5,234,3,39,113,2.9,1,70,347,5,10,5,2,17,13,136,1,0,1
"10","connecticut","2001-11-17","@","Middle Tennessee State","L (14-38)",13,18,72.2,201,0,52,327,6.3,4,70,528,7.5,9,16,1,26,8,67,1,0,1
"11","connecticut","2001-11-24","@","Temple","L (7-56)",14,19,73.7,205,4,42,339,8.1,3,61,544,8.9,9,9,2,20,9,82,1,0,1
