"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","duke","2001-09-01","","Florida State","L (13-55)",16,30,53.3,189,2,38,200,5.3,3,68,389,5.7,9,9,1,19,6,45,0,0,0
"2","duke","2001-09-08","@","Rice","L (13-15)",11,18,61.1,116,0,57,154,2.7,2,75,270,3.6,7,10,1,18,6,61,1,0,1
"3","duke","2001-09-22","","Northwestern","L (7-44)",23,37,62.2,335,1,49,303,6.2,4,86,638,7.4,15,13,0,28,7,75,0,1,1
"4","duke","2001-09-29","@","Virginia","L (10-31)",24,36,66.7,284,3,37,157,4.2,1,73,441,6,12,8,3,23,13,110,0,1,1
"5","duke","2001-10-06","","Georgia Tech","L (10-37)",24,40,60,295,2,48,210,4.4,2,88,505,5.7,11,15,1,27,6,55,1,2,3
"6","duke","2001-10-13","","Wake Forest","L (35-42)",12,20,60,144,1,62,265,4.3,5,82,409,5,5,14,1,20,7,64,1,1,2
"7","duke","2001-10-20","@","Maryland","L (17-59)",28,36,77.8,335,1,54,362,6.7,7,90,697,7.7,17,17,0,34,9,68,2,1,3
"8","duke","2001-10-27","","Vanderbilt","L (28-42)",9,19,47.4,175,2,40,338,8.5,4,59,513,8.7,4,12,0,16,7,86,2,0,2
"9","duke","2001-11-03","","North Carolina State","L (31-55)",14,23,60.9,189,5,25,193,7.7,1,48,382,8,6,6,2,14,10,89,1,0,1
"10","duke","2001-11-17","@","North Carolina","L (17-52)",22,39,56.4,368,4,39,192,4.9,3,78,560,7.2,14,9,2,25,8,61,0,0,0
"11","duke","2001-12-01","@","Clemson","L (31-59)",18,31,58.1,280,4,45,328,7.3,4,76,608,8,8,15,2,25,4,42,1,1,2
