"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","eastern-michigan","2001-09-01","","Southeast Missouri State","W (16-12)",17,35,48.6,222,1,39,105,2.7,0,74,327,4.4,11,6,2,19,5,51,0,1,1
"2","eastern-michigan","2001-09-08","@","Maryland","L (3-50)",16,25,64,196,1,52,280,5.4,6,77,476,6.2,8,18,1,27,5,45,1,0,1
"3","eastern-michigan","2001-09-22","","Indiana State","L (14-21)",9,17,52.9,101,1,49,168,3.4,2,66,269,4.1,8,10,1,19,7,62,0,1,1
"4","eastern-michigan","2001-09-29","","Western Michigan","L (10-31)",21,35,60,205,1,36,158,4.4,2,71,363,5.1,10,7,1,18,8,62,2,1,3
"5","eastern-michigan","2001-10-06","@","Connecticut","L (0-19)",14,32,43.8,180,1,40,108,2.7,1,72,288,4,10,5,2,17,9,75,0,1,1
"6","eastern-michigan","2001-10-13","","Ball State","L (14-35)",8,23,34.8,95,1,53,217,4.1,3,76,312,4.1,3,14,1,18,6,49,1,1,2
"7","eastern-michigan","2001-10-27","","Buffalo","W (24-20)",20,46,43.5,242,2,34,110,3.2,0,80,352,4.4,11,9,1,21,2,20,0,0,0
"8","eastern-michigan","2001-11-03","@","Northern Illinois","L (17-40)",15,28,53.6,205,2,38,133,3.5,1,66,338,5.1,7,7,0,14,7,60,0,0,0
"9","eastern-michigan","2001-11-10","@","Central Michigan","L (30-35)",14,23,60.9,185,0,40,266,6.7,5,63,451,7.2,6,10,0,16,3,41,2,1,3
"10","eastern-michigan","2001-11-17","@","Toledo","L (7-28)",23,29,79.3,236,1,47,189,4,2,76,425,5.6,11,11,1,23,8,107,1,0,1
"11","eastern-michigan","2001-11-24","@","Akron","L (62-65)",21,33,63.6,313,2,58,219,3.8,5,91,532,5.8,14,12,1,27,4,35,1,0,1
