"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","georgia-tech","2001-08-26","N","Syracuse","W (13-7)",19,32,59.4,183,0,26,59,2.3,1,58,242,4.2,8,4,1,13,8,49,0,1,1
"2","georgia-tech","2001-09-01","","Citadel","W (35-7)",15,26,57.7,132,0,34,70,2.1,1,60,202,3.4,5,4,4,13,8,48,1,0,1
"3","georgia-tech","2001-09-08","@","Navy","W (70-7)",11,26,42.3,111,0,40,106,2.7,1,66,217,3.3,5,6,2,13,3,19,3,2,5
"4","georgia-tech","2001-09-29","","Clemson","L (44-47)",18,32,56.3,254,2,52,248,4.8,5,84,502,6,10,16,1,27,11,108,1,0,1
"5","georgia-tech","2001-10-06","@","Duke","W (37-10)",11,29,37.9,201,0,37,102,2.8,1,66,303,4.6,7,4,0,11,9,65,2,0,2
"6","georgia-tech","2001-10-11","","Maryland","L (17-20)",21,41,51.2,210,0,34,92,2.7,1,75,302,4,9,7,3,19,8,53,0,2,2
"7","georgia-tech","2001-10-20","","North Carolina State","W (27-17)",20,32,62.5,223,1,26,41,1.6,1,58,264,4.6,8,4,3,15,10,87,1,2,3
"8","georgia-tech","2001-11-01","","North Carolina","W (28-21)",22,37,59.5,286,3,17,13,0.8,0,54,299,5.5,14,1,0,15,8,45,0,1,1
"9","georgia-tech","2001-11-10","@","Virginia","L (38-39)",32,46,69.6,327,5,25,134,5.4,0,71,461,6.5,14,12,1,27,8,91,1,1,2
"10","georgia-tech","2001-11-17","@","Wake Forest","W (38-33)",18,39,46.2,210,0,43,140,3.3,3,82,350,4.3,11,8,4,23,5,45,1,2,3
"11","georgia-tech","2001-11-24","","Georgia","L (17-31)",11,25,44,210,0,52,232,4.5,1,77,442,5.7,7,15,0,22,14,134,1,0,1
"12","georgia-tech","2001-12-01","@","Florida State","L (17-28)",14,25,56,248,2,46,168,3.7,2,71,416,5.9,8,10,2,20,7,43,0,0,0
