"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","georgia","2001-09-01","","Arkansas State","W (45-17)",17,32,53.1,180,1,41,143,3.5,1,73,323,4.4,6,8,4,18,7,55,0,1,1
"2","georgia","2001-09-08","","South Carolina","L (9-14)",19,29,65.5,193,1,36,43,1.2,1,65,236,3.6,10,3,0,13,4,23,1,0,1
"3","georgia","2001-09-29","","Arkansas","W (34-23)",17,32,53.1,212,0,34,85,2.5,1,66,297,4.5,10,2,6,18,14,97,0,1,1
"4","georgia","2001-10-06","@","Tennessee","W (26-24)",24,40,60,295,3,42,197,4.7,0,82,492,6,13,8,1,22,7,50,0,1,1
"5","georgia","2001-10-13","@","Vanderbilt","W (30-14)",24,50,48,316,1,38,120,3.2,1,88,436,5,13,9,1,23,9,79,1,0,1
"6","georgia","2001-10-20","","Kentucky","W (43-29)",32,54,59.3,377,3,22,116,5.3,1,76,493,6.5,21,8,1,30,12,109,1,2,3
"7","georgia","2001-10-27","N","Florida","L (10-24)",27,35,77.1,407,2,38,177,4.7,1,73,584,8,20,9,0,29,12,106,2,2,4
"8","georgia","2001-11-10","","Auburn","L (17-24)",15,25,60,196,1,62,179,2.9,2,87,375,4.3,8,11,2,21,7,75,1,1,2
"9","georgia","2001-11-17","@","Mississippi","W (35-15)",35,47,74.5,233,2,20,28,1.4,0,67,261,3.9,15,3,3,21,6,52,1,1,2
"10","georgia","2001-11-24","@","Georgia Tech","W (31-17)",19,35,54.3,179,1,28,63,2.3,1,63,242,3.8,8,3,4,15,5,43,1,1,2
"11","georgia","2001-12-01","","Houston","W (35-7)",28,46,60.9,191,1,25,46,1.8,0,71,237,3.3,9,3,2,14,10,85,1,2,3
