"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","idaho","2001-08-30","@","Washington State","L (7-36)",19,32,59.4,303,3,49,241,4.9,1,81,544,6.7,12,11,5,28,15,128,1,0,1
"2","idaho","2001-09-08","@","Arizona","L (29-36)",21,35,60,310,2,36,181,5,3,71,491,6.9,10,9,3,22,8,93,1,0,1
"3","idaho","2001-09-22","@","Washington","L (3-53)",19,26,73.1,222,1,45,212,4.7,3,71,434,6.1,12,10,0,22,9,100,1,1,2
"4","idaho","2001-09-29","","Boise State","L (13-45)",18,24,75,328,3,41,209,5.1,3,65,537,8.3,9,14,3,26,7,73,0,0,0
"5","idaho","2001-10-06","@","Middle Tennessee State","L (58-70)",23,28,82.1,459,6,39,226,5.8,3,67,685,10.2,14,12,2,28,8,38,1,0,1
"6","idaho","2001-10-13","@","New Mexico State","L (39-46)",12,19,63.2,124,1,59,356,6,4,78,480,6.2,7,20,6,33,10,87,2,0,2
"7","idaho","2001-10-20","","Louisiana","L (37-54)",27,35,77.1,407,3,50,234,4.7,4,85,641,7.5,17,10,1,28,4,20,0,1,1
"8","idaho","2001-10-27","@","Arkansas State","L (31-34)",10,23,43.5,169,2,40,152,3.8,2,63,321,5.1,9,7,2,18,5,55,1,1,2
"9","idaho","2001-11-03","","Louisiana-Monroe","W (42-38)",29,53,54.7,287,2,24,23,1,2,77,310,4,14,2,4,20,9,64,0,0,0
"10","idaho","2001-11-17","","North Texas","L (27-50)",13,19,68.4,148,3,46,254,5.5,4,65,402,6.2,7,13,2,22,5,21,0,1,1
"11","idaho","2001-11-24","@","Montana","L (27-33)",21,37,56.8,304,2,26,115,4.4,2,63,419,6.7,13,6,3,22,6,65,2,0,2
