"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","illinois","2001-09-01","@","California","W (44-17)",21,34,61.8,217,0,41,164,4,2,75,381,5.1,11,11,0,22,7,54,3,2,5
"2","illinois","2001-09-08","","Northern Illinois","W (17-12)",17,44,38.6,159,1,44,214,4.9,0,88,373,4.2,11,9,3,23,8,77,0,2,2
"3","illinois","2001-09-22","","Louisville","W (34-10)",22,39,56.4,309,1,25,29,1.2,0,64,338,5.3,12,1,0,13,13,111,2,3,5
"4","illinois","2001-09-29","@","Michigan","L (20-45)",16,30,53.3,268,2,45,137,3,4,75,405,5.4,12,7,2,21,5,30,1,0,1
"5","illinois","2001-10-06","","Minnesota","W (25-14)",20,34,58.8,242,1,38,149,3.9,1,72,391,5.4,12,7,1,20,6,55,0,1,1
"6","illinois","2001-10-13","@","Indiana","W (35-14)",18,36,50,165,1,40,194,4.9,1,76,359,4.7,10,11,2,23,7,52,0,1,1
"7","illinois","2001-10-20","","Wisconsin","W (42-35)",14,29,48.3,205,2,27,126,4.7,3,56,331,5.9,10,5,2,17,9,67,0,0,0
"8","illinois","2001-11-03","@","Purdue","W (38-13)",20,39,51.3,178,1,37,62,1.7,0,76,240,3.2,9,5,1,15,7,68,2,2,4
"9","illinois","2001-11-10","","Penn State","W (33-28)",11,33,33.3,148,1,34,114,3.4,1,67,262,3.9,6,9,1,16,8,65,0,4,4
"10","illinois","2001-11-17","@","Ohio State","W (34-22)",15,37,40.5,206,2,40,224,5.6,1,77,430,5.6,11,8,1,20,4,20,0,2,2
"11","illinois","2001-11-22","","Northwestern","W (34-28)",19,41,46.3,266,4,42,201,4.8,0,83,467,5.6,14,11,0,25,4,33,0,1,1
