"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","iowa-state","2001-09-08","","Northern Iowa","W (45-0)",10,30,33.3,116,0,41,183,4.5,0,71,299,4.2,6,10,1,17,7,57,1,6,7
"2","iowa-state","2001-09-22","@","Ohio","W (31-28)",8,12,66.7,151,2,44,285,6.5,2,56,436,7.8,4,12,1,17,8,111,1,0,1
"3","iowa-state","2001-09-29","","Baylor","W (41-0)",27,40,67.5,177,0,27,13,0.5,0,67,190,2.8,9,6,3,18,6,37,1,2,3
"4","iowa-state","2001-10-06","@","Nebraska","L (14-48)",11,16,68.8,117,0,54,359,6.6,6,70,476,6.8,5,18,2,25,3,40,0,1,1
"5","iowa-state","2001-10-13","@","Missouri","W (20-14)",14,32,43.8,137,1,37,229,6.2,1,69,366,5.3,5,14,1,20,4,45,1,1,2
"6","iowa-state","2001-10-20","","Oklahoma State","W (28-14)",24,39,61.5,234,2,18,42,2.3,0,57,276,4.8,11,4,3,18,8,69,0,1,1
"7","iowa-state","2001-10-27","@","Texas A&M","L (21-24)",11,21,52.4,132,0,35,190,5.4,3,56,322,5.8,5,8,1,14,6,65,0,1,1
"8","iowa-state","2001-11-03","","Kansas State","L (3-42)",5,13,38.5,88,1,75,343,4.6,4,88,431,4.9,5,24,1,30,7,69,0,0,0
"9","iowa-state","2001-11-10","","Colorado","L (27-40)",18,27,66.7,247,2,57,255,4.5,2,84,502,6,14,11,1,26,8,62,1,0,1
"10","iowa-state","2001-11-17","@","Kansas","W (49-7)",12,26,46.2,126,1,34,85,2.5,0,60,211,3.5,6,7,1,14,5,62,1,5,6
"11","iowa-state","2001-11-24","","Iowa","W (17-14)",15,20,75,145,1,36,159,4.4,1,56,304,5.4,9,8,1,18,2,16,2,1,3
