"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","maryland","2001-09-01","","North Carolina","W (23-7)",16,26,61.5,158,0,37,118,3.2,1,63,276,4.4,6,4,0,10,5,30,0,3,3
"2","maryland","2001-09-08","","Eastern Michigan","W (50-3)",15,30,50,100,0,29,24,0.8,0,59,124,2.1,6,2,1,9,5,46,0,2,2
"3","maryland","2001-09-22","@","Wake Forest","W (27-20)",17,32,53.1,216,1,46,163,3.5,1,78,379,4.9,10,8,0,18,4,30,1,1,2
"4","maryland","2001-09-29","","West Virginia","W (32-20)",31,52,59.6,279,1,43,151,3.5,0,95,430,4.5,15,8,4,27,5,45,2,4,6
"5","maryland","2001-10-06","","Virginia","W (41-21)",21,38,55.3,281,2,25,64,2.6,1,63,345,5.5,9,6,1,16,7,79,1,1,2
"6","maryland","2001-10-11","@","Georgia Tech","W (20-17)",26,45,57.8,320,2,39,50,1.3,0,84,370,4.4,14,6,0,20,8,75,3,3,6
"7","maryland","2001-10-20","","Duke","W (59-17)",13,32,40.6,163,1,35,133,3.8,1,67,296,4.4,7,9,2,18,3,15,1,3,4
"8","maryland","2001-10-27","@","Florida State","L (31-52)",16,27,59.3,363,5,39,134,3.4,1,66,497,7.5,13,7,3,23,7,60,0,1,1
"9","maryland","2001-11-03","","Troy","W (47-14)",19,36,52.8,272,2,26,-1,0,0,62,271,4.4,12,3,0,15,6,60,1,1,2
"10","maryland","2001-11-10","","Clemson","W (37-20)",18,37,48.6,218,1,35,123,3.5,0,72,341,4.7,11,9,0,20,11,79,0,4,4
"11","maryland","2001-11-17","@","North Carolina State","W (23-19)",27,43,62.8,275,1,33,38,1.2,0,76,313,4.1,13,5,1,19,5,35,1,1,2
