"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","memphis","2001-09-03","@","Mississippi State","L (10-30)",12,22,54.5,174,2,41,179,4.4,1,63,353,5.6,5,10,2,17,8,91,3,1,4
"2","memphis","2001-09-08","","Chattanooga","W (43-10)",20,46,43.5,201,0,29,30,1,1,75,231,3.1,12,2,6,20,3,35,0,1,1
"3","memphis","2001-09-22","","South Florida","W (17-9)",25,62,40.3,276,0,23,124,5.4,0,85,400,4.7,11,7,2,20,13,93,1,3,4
"4","memphis","2001-09-29","@","Louisville","L (21-38)",15,27,55.6,207,2,40,235,5.9,3,67,442,6.6,8,11,1,20,9,73,2,0,2
"5","memphis","2001-10-06","","Southern Mississippi","W (22-17)",21,37,56.8,204,1,34,60,1.8,1,71,264,3.7,8,5,0,13,7,58,1,3,4
"6","memphis","2001-10-13","@","Houston","W (52-33)",28,42,66.7,331,2,28,130,4.6,3,70,461,6.6,14,7,1,22,10,79,0,2,2
"7","memphis","2001-10-20","@","East Carolina","L (11-32)",20,26,76.9,268,1,57,205,3.6,2,83,473,5.7,14,13,1,28,5,43,0,0,0
"8","memphis","2001-10-27","","Alabama-Birmingham","L (14-17)",7,20,35,61,0,44,114,2.6,2,64,175,2.7,2,5,2,9,7,45,1,1,2
"9","memphis","2001-11-10","@","Tennessee","L (28-49)",24,39,61.5,302,5,43,218,5.1,1,82,520,6.3,14,12,2,28,12,85,0,1,1
"10","memphis","2001-11-17","","Army","W (42-10)",16,35,45.7,154,0,45,167,3.7,1,80,321,4,9,11,0,20,7,57,1,3,4
"11","memphis","2001-11-24","","Cincinnati","L (34-36)",18,36,50,348,2,54,224,4.1,2,90,572,6.4,15,14,4,33,10,93,0,0,0
