"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","miami-fl","2001-09-01","@","Penn State","W (33-7)",13,31,41.9,241,1,33,82,2.5,0,64,323,5,9,7,0,16,4,22,1,2,3
"2","miami-fl","2001-09-08","","Rutgers","W (61-0)",9,22,40.9,62,0,40,64,1.6,0,62,126,2,3,2,6,11,12,67,5,1,6
"3","miami-fl","2001-09-27","@","Pittsburgh","W (43-21)",17,35,48.6,175,1,32,133,4.2,2,67,308,4.6,9,7,3,19,9,129,2,1,3
"4","miami-fl","2001-10-06","","Troy","W (38-7)",15,29,51.7,157,1,45,155,3.4,0,74,312,4.2,9,12,3,24,11,58,0,1,1
"5","miami-fl","2001-10-13","@","Florida State","W (49-27)",17,37,45.9,262,1,48,214,4.5,2,85,476,5.6,13,13,4,30,11,106,2,4,6
"6","miami-fl","2001-10-25","","West Virginia","W (45-3)",9,21,42.9,72,0,55,193,3.5,0,76,265,3.5,2,13,1,16,5,56,2,4,6
"7","miami-fl","2001-11-03","","Temple","W (38-0)",6,14,42.9,34,0,45,118,2.6,0,59,152,2.6,3,8,0,11,9,81,2,1,3
"8","miami-fl","2001-11-10","@","Boston College","W (18-7)",12,29,41.4,162,1,40,131,3.3,0,69,293,4.2,10,5,1,16,3,15,1,2,3
"9","miami-fl","2001-11-17","","Syracuse","W (59-0)",10,20,50,80,0,46,105,2.3,0,66,185,2.8,2,8,2,12,8,66,1,1,2
"10","miami-fl","2001-11-24","","Washington","W (65-7)",17,36,47.2,194,0,45,98,2.2,1,81,292,3.6,12,7,3,22,10,60,1,6,7
"11","miami-fl","2001-12-01","@","Virginia Tech","W (26-24)",4,16,25,81,0,39,167,4.3,2,55,248,4.5,2,6,3,11,3,27,1,4,5
