"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","michigan-state","2001-09-08","","Central Michigan","W (35-21)",18,36,50,122,1,40,165,4.1,0,76,287,3.8,5,10,1,16,9,88,1,2,3
"2","michigan-state","2001-09-22","@","Notre Dame","W (17-10)",13,24,54.2,124,1,43,156,3.6,0,67,280,4.2,9,9,0,18,5,61,1,1,2
"3","michigan-state","2001-09-29","@","Northwestern","L (26-27)",23,40,57.5,231,2,44,191,4.3,1,84,422,5,10,10,0,20,13,105,0,1,1
"4","michigan-state","2001-10-13","","Iowa","W (31-28)",22,41,53.7,220,1,35,144,4.1,3,76,364,4.8,13,8,1,22,11,63,0,4,4
"5","michigan-state","2001-10-20","@","Minnesota","L (19-28)",11,24,45.8,124,1,42,322,7.7,3,66,446,6.8,3,16,1,20,7,43,0,0,0
"6","michigan-state","2001-10-27","@","Wisconsin","W (42-28)",20,37,54.1,368,4,46,151,3.3,0,83,519,6.3,15,10,1,26,6,42,0,3,3
"7","michigan-state","2001-11-03","","Michigan","W (26-24)",14,27,51.9,195,3,30,121,4,0,57,316,5.5,7,7,0,14,7,76,0,2,2
"8","michigan-state","2001-11-10","","Indiana","L (28-37)",4,13,30.8,48,0,63,489,7.8,5,76,537,7.1,3,20,4,27,8,62,1,0,1
"9","michigan-state","2001-11-17","@","Purdue","L (14-24)",13,21,61.9,126,0,49,140,2.9,2,70,266,3.8,6,6,1,13,5,35,2,0,2
"10","michigan-state","2001-11-24","","Penn State","L (37-42)",15,29,51.7,305,1,35,95,2.7,5,64,400,6.3,11,4,3,18,2,10,0,1,1
"11","michigan-state","2001-12-01","","Missouri","W (55-7)",10,30,33.3,74,0,40,167,4.2,1,70,241,3.4,6,8,2,16,2,15,1,2,3
