"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","michigan","2001-09-01","","Miami (OH)","W (31-13)",22,44,50,223,2,29,127,4.4,0,73,350,4.8,9,8,1,18,6,55,0,3,3
"2","michigan","2001-09-08","@","Washington","L (18-23)",13,22,59.1,199,0,35,69,2,0,57,268,4.7,6,5,2,13,5,37,0,0,0
"3","michigan","2001-09-22","","Western Michigan","W (38-21)",36,58,62.1,374,2,25,13,0.5,1,83,387,4.7,15,5,4,24,9,76,0,2,2
"4","michigan","2001-09-29","","Illinois","W (45-20)",24,46,52.2,275,1,27,25,0.9,1,73,300,4.1,8,3,1,12,7,69,1,1,2
"5","michigan","2001-10-06","@","Penn State","W (20-0)",21,38,55.3,244,0,26,25,1,0,64,269,4.2,12,2,0,14,6,50,1,2,3
"6","michigan","2001-10-13","","Purdue","W (24-10)",16,33,48.5,198,1,37,57,1.5,0,70,255,3.6,8,3,1,12,15,105,1,0,1
"7","michigan","2001-10-27","@","Iowa","W (32-26)",20,34,58.8,235,1,34,65,1.9,1,68,300,4.4,9,4,0,13,10,75,1,2,3
"8","michigan","2001-11-03","@","Michigan State","L (24-26)",15,37,40.5,183,2,53,169,3.2,1,90,352,3.9,11,10,4,25,2,25,1,0,1
"9","michigan","2001-11-10","","Minnesota","W (31-10)",12,25,48,140,1,30,150,5,0,55,290,5.3,7,5,0,12,10,96,0,0,0
"10","michigan","2001-11-17","@","Wisconsin","W (20-17)",14,29,48.3,133,0,45,159,3.5,2,74,292,3.9,7,9,0,16,7,68,2,0,2
"11","michigan","2001-11-24","","Ohio State","L (20-26)",11,18,61.1,118,0,50,137,2.7,3,68,255,3.8,4,6,1,11,9,66,0,1,1
