"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","mississippi-state","2001-09-03","","Memphis","W (30-10)",10,17,58.8,76,1,46,86,1.9,0,63,162,2.6,4,3,3,10,11,71,2,0,2
"2","mississippi-state","2001-09-20","","South Carolina","L (14-16)",7,16,43.8,60,0,46,238,5.2,1,62,298,4.8,2,13,0,15,7,50,0,0,0
"3","mississippi-state","2001-09-29","@","Florida","L (0-52)",29,49,59.2,507,6,30,133,4.4,1,79,640,8.1,21,10,4,35,15,103,1,0,1
"4","mississippi-state","2001-10-06","@","Auburn","L (14-16)",7,13,53.8,79,0,48,214,4.5,1,61,293,4.8,4,9,3,16,7,45,0,1,1
"5","mississippi-state","2001-10-13","","Troy","L (9-21)",10,26,38.5,130,1,33,82,2.5,1,59,212,3.6,5,4,2,11,5,48,2,3,5
"6","mississippi-state","2001-10-20","","Louisiana State","L (0-42)",18,29,62.1,280,3,37,138,3.7,3,66,418,6.3,11,5,2,18,7,77,0,0,0
"7","mississippi-state","2001-11-03","","Kentucky","W (17-14)",26,46,56.5,320,2,17,2,0.1,0,63,322,5.1,13,1,4,18,9,60,0,2,2
"8","mississippi-state","2001-11-10","@","Alabama","L (17-24)",13,27,48.1,173,1,46,228,5,2,73,401,5.5,8,11,3,22,9,69,2,0,2
"9","mississippi-state","2001-11-17","@","Arkansas","L (21-24)",10,19,52.6,134,0,58,329,5.7,3,77,463,6,7,16,0,23,7,46,1,1,2
"10","mississippi-state","2001-11-22","","Mississippi","W (36-28)",17,37,45.9,211,2,41,137,3.3,2,78,348,4.5,11,8,3,22,4,45,0,3,3
"11","mississippi-state","2001-12-01","","Brigham Young","L (38-41)",23,32,71.9,390,5,43,139,3.2,0,75,529,7.1,14,11,3,28,9,70,1,3,4
