"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","missouri","2001-09-01","","Bowling Green State","L (13-20)",15,24,62.5,148,1,45,194,4.3,2,69,342,5,8,11,0,19,9,86,0,1,1
"2","missouri","2001-09-08","","","W (40-6)",8,12,66.7,93,0,34,23,0.7,1,46,116,2.5,5,3,0,8,8,76,1,1,2
"3","missouri","2001-09-29","","Nebraska","L (3-36)",8,15,53.3,120,0,72,412,5.7,5,87,532,6.1,6,19,1,26,9,85,1,1,2
"4","missouri","2001-10-06","@","Oklahoma State","W (41-38)",28,38,73.7,272,3,50,147,2.9,2,88,419,4.8,12,9,2,23,8,49,2,0,2
"5","missouri","2001-10-13","","Iowa State","L (14-20)",13,22,59.1,75,0,44,207,4.7,2,66,282,4.3,5,9,2,16,10,60,0,0,0
"6","missouri","2001-10-20","@","Kansas","W (38-34)",13,25,52,242,2,34,102,3,1,59,344,5.8,8,5,1,14,6,61,0,0,0
"7","missouri","2001-10-27","","Texas","L (16-35)",24,30,80,229,4,46,192,4.2,1,76,421,5.5,9,15,1,25,8,64,0,0,0
"8","missouri","2001-11-03","@","Colorado","L (24-38)",17,22,77.3,257,2,48,242,5,2,70,499,7.1,10,12,0,22,3,30,2,1,3
"9","missouri","2001-11-10","","Baylor","W (41-24)",29,46,63,281,3,34,121,3.6,0,80,402,5,17,8,1,26,7,49,1,1,2
"10","missouri","2001-11-24","@","Kansas State","L (3-24)",11,21,52.4,113,0,56,282,5,2,77,395,5.1,5,14,0,19,6,60,1,0,1
"11","missouri","2001-12-01","@","Michigan State","L (7-55)",17,27,63,375,3,52,264,5.1,4,79,639,8.1,15,14,0,29,10,95,1,1,2
