"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","nebraska","2001-08-25","","Texas Christian","W (21-7)",11,22,50,130,1,28,56,2,0,50,186,3.7,2,3,1,6,11,85,1,0,1
"2","nebraska","2001-09-01","","Troy","W (42-14)",15,36,41.7,190,1,35,-25,-0.7,1,71,165,2.3,7,3,3,13,8,53,1,2,3
"3","nebraska","2001-09-08","","Notre Dame","W (27-10)",16,32,50,119,0,30,43,1.4,1,62,162,2.6,6,4,4,14,9,63,2,2,4
"4","nebraska","2001-09-20","","Rice","W (48-3)",8,25,32,169,0,47,196,4.2,0,72,365,5.1,6,10,1,17,7,34,0,2,2
"5","nebraska","2001-09-29","@","Missouri","W (36-3)",16,43,37.2,138,0,23,67,2.9,0,66,205,3.1,6,4,3,13,3,37,0,0,0
"6","nebraska","2001-10-06","","Iowa State","W (48-14)",13,29,44.8,214,1,38,122,3.2,1,67,336,5,8,10,2,20,6,55,0,2,2
"7","nebraska","2001-10-13","@","Baylor","W (48-7)",15,43,34.9,158,0,33,29,0.9,0,76,187,2.5,8,4,2,14,4,43,1,3,4
"8","nebraska","2001-10-20","","Texas Tech","W (41-31)",34,64,53.1,373,1,17,67,3.9,1,81,440,5.4,15,8,3,26,6,51,1,1,2
"9","nebraska","2001-10-27","","Oklahoma","W (20-10)",22,50,44,234,1,29,105,3.6,0,79,339,4.3,14,6,1,21,6,45,0,2,2
"10","nebraska","2001-11-03","@","Kansas","W (51-7)",8,17,47.1,79,1,42,124,3,0,59,203,3.4,3,7,1,11,3,28,1,2,3
"11","nebraska","2001-11-10","","Kansas State","W (31-21)",4,18,22.2,37,1,44,239,5.4,2,62,276,4.5,2,12,0,14,7,32,0,3,3
"12","nebraska","2001-11-23","@","Colorado","L (36-62)",9,16,56.3,202,1,52,380,7.3,8,68,582,8.6,7,15,3,25,9,75,0,0,0
