"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","nevada","2001-09-01","@","Brigham Young","L (7-52)",25,40,62.5,389,2,38,209,5.5,5,78,598,7.7,17,9,0,26,5,30,0,0,0
"2","nevada","2001-09-08","@","Colorado State","L (18-35)",11,20,55,235,2,39,182,4.7,3,59,417,7.1,7,8,1,16,7,60,2,1,3
"3","nevada","2001-09-22","","Hawaii","W (28-20)",25,38,65.8,303,2,20,45,2.3,0,58,348,6,13,4,4,21,5,33,0,1,1
"4","nevada","2001-10-06","","Nevada-Las Vegas","L (12-27)",6,15,40,80,0,50,313,6.3,3,65,393,6,4,9,1,14,8,61,1,1,2
"5","nevada","2001-10-13","","Louisiana Tech","L (42-45)",30,49,61.2,456,4,32,105,3.3,2,81,561,6.9,22,7,5,34,8,101,1,0,1
"6","nevada","2001-10-20","@","Rice","L (30-33)",4,11,36.4,77,1,61,404,6.6,4,72,481,6.7,2,17,0,19,6,39,2,0,2
"7","nevada","2001-10-27","@","Boise State","L (7-49)",11,17,64.7,169,3,46,319,6.9,4,63,488,7.7,5,15,0,20,2,20,0,0,0
"8","nevada","2001-11-03","","Southern Methodist","W (35-14)",19,37,51.4,149,0,45,186,4.1,2,82,335,4.1,9,14,3,26,5,49,2,2,4
"9","nevada","2001-11-10","@","San Jose State","L (45-64)",23,28,82.1,534,6,55,315,5.7,3,83,849,10.2,17,14,4,35,12,132,0,0,0
"10","nevada","2001-11-17","","Fresno State","L (14-61)",23,35,65.7,368,4,34,200,5.9,3,69,568,8.2,14,7,0,21,7,40,1,1,2
"11","nevada","2001-11-24","@","Texas-El Paso","W (48-31)",17,25,68,217,2,34,188,5.5,1,59,405,6.9,6,11,2,19,10,88,0,0,0
