"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","new-mexico-state","2001-08-23","@","Louisville","L (24-45)",18,32,56.3,272,3,30,101,3.4,1,62,373,6,11,7,0,18,8,89,1,1,2
"2","new-mexico-state","2001-09-01","@","Texas","L (7-41)",21,38,55.3,228,2,45,171,3.8,2,83,399,4.8,13,9,2,24,3,35,0,0,0
"3","new-mexico-state","2001-09-08","","Oregon State","L (22-27)",16,27,59.3,207,0,46,217,4.7,3,73,424,5.8,11,14,1,26,11,135,0,1,1
"4","new-mexico-state","2001-09-22","@","Kansas State","L (0-64)",11,19,57.9,251,2,53,277,5.2,6,72,528,7.3,10,13,1,24,12,102,0,1,1
"5","new-mexico-state","2001-09-29","@","Louisiana-Monroe","W (31-0)",16,35,45.7,147,0,15,30,2,0,50,177,3.5,9,3,2,14,4,22,0,2,2
"6","new-mexico-state","2001-10-06","@","Tulsa","W (24-7)",34,62,54.8,321,0,30,51,1.7,1,92,372,4,18,6,0,24,7,54,1,1,2
"7","new-mexico-state","2001-10-13","","Idaho","W (46-39)",27,44,61.4,288,2,34,167,4.9,3,78,455,5.8,13,11,3,27,14,119,1,5,6
"8","new-mexico-state","2001-10-27","@","Middle Tennessee State","L (35-39)",31,42,73.8,383,1,37,173,4.7,4,79,556,7,17,11,1,29,7,50,2,1,3
"9","new-mexico-state","2001-11-03","","North Texas","L (20-22)",13,27,48.1,189,2,47,195,4.1,0,74,384,5.2,6,11,1,18,11,99,1,2,3
"10","new-mexico-state","2001-11-10","","Arkansas State","W (28-17)",11,23,47.8,149,0,57,270,4.7,2,80,419,5.2,6,18,1,25,6,55,1,1,2
"11","new-mexico-state","2001-11-17","@","Louisiana","W (49-46)",26,43,60.5,329,4,32,127,4,1,75,456,6.1,17,7,2,26,6,45,0,1,1
"12","new-mexico-state","2001-11-24","@","New Mexico","L (0-53)",5,9,55.6,113,0,59,350,5.9,6,68,463,6.8,4,18,0,22,3,43,0,0,0
