"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","new-mexico","2001-09-01","","Texas-El Paso","W (26-6)",19,32,59.4,223,1,27,-53,-2,0,59,170,2.9,10,1,2,13,9,74,3,2,5
"2","new-mexico","2001-09-08","@","Texas Tech","L (30-42)",30,49,61.2,364,3,28,62,2.2,0,77,426,5.5,16,5,1,22,4,35,0,2,2
"3","new-mexico","2001-09-22","@","Baylor","L (13-16)",26,47,55.3,223,1,37,72,1.9,0,84,295,3.5,12,5,1,18,5,42,1,2,3
"4","new-mexico","2001-09-29","@","Utah","L (16-37)",15,30,50,210,1,48,255,5.3,4,78,465,6,8,11,1,20,7,59,1,1,2
"5","new-mexico","2001-10-06","@","Wyoming","W (30-29)",21,36,58.3,364,2,31,28,0.9,1,67,392,5.9,10,5,1,16,2,10,0,3,3
"6","new-mexico","2001-10-13","","Brigham Young","L (20-24)",22,41,53.7,258,3,31,107,3.5,0,72,365,5.1,11,8,1,20,2,10,0,0,0
"7","new-mexico","2001-10-27","","Air Force","W (52-33)",8,16,50,166,1,30,112,3.7,2,46,278,6,5,3,1,9,4,23,1,2,3
"8","new-mexico","2001-11-03","@","San Diego State","W (20-15)",13,36,36.1,163,1,35,64,1.8,0,71,227,3.2,6,5,0,11,2,10,1,0,1
"9","new-mexico","2001-11-10","","Nevada-Las Vegas","W (27-17)",12,28,42.9,159,1,42,107,2.5,1,70,266,3.8,7,5,3,15,5,55,1,1,2
"10","new-mexico","2001-11-17","","Colorado State","L (17-24)",11,23,47.8,171,1,43,128,3,1,66,299,4.5,8,7,0,15,6,55,1,0,1
"11","new-mexico","2001-11-24","","New Mexico State","W (53-0)",15,37,40.5,157,0,31,79,2.5,0,68,236,3.5,10,5,2,17,8,76,1,2,3
