"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","north-carolina-state","2001-09-06","","Indiana","W (35-14)",19,33,57.6,170,1,34,106,3.1,1,67,276,4.1,9,8,1,18,7,36,2,0,2
"2","north-carolina-state","2001-09-22","@","Southern Methodist","W (26-17)",13,23,56.5,151,2,44,165,3.8,0,67,316,4.7,4,12,3,19,12,97,2,1,3
"3","north-carolina-state","2001-09-29","","North Carolina","L (9-17)",17,29,58.6,186,2,49,161,3.3,0,78,347,4.4,7,9,5,21,10,76,1,2,3
"4","north-carolina-state","2001-10-06","@","Wake Forest","W (17-14)",6,18,33.3,95,0,50,221,4.4,2,68,316,4.6,4,12,1,17,11,94,2,1,3
"5","north-carolina-state","2001-10-13","","Clemson","L (37-45)",23,27,85.2,333,4,52,234,4.5,2,79,567,7.2,13,12,3,28,20,181,2,0,2
"6","north-carolina-state","2001-10-20","@","Georgia Tech","L (17-27)",24,39,61.5,256,2,43,124,2.9,0,82,380,4.6,12,9,4,25,8,58,1,0,1
"7","north-carolina-state","2001-10-27","","Virginia","W (24-0)",15,29,51.7,149,0,30,66,2.2,0,59,215,3.6,9,2,1,12,8,75,1,0,1
"8","north-carolina-state","2001-11-03","@","Duke","W (55-31)",31,54,57.4,400,2,44,117,2.7,2,98,517,5.3,22,10,3,35,8,67,2,1,3
"9","north-carolina-state","2001-11-10","@","Florida State","W (34-28)",20,35,57.1,302,3,28,132,4.7,1,63,434,6.9,14,7,4,25,6,47,1,1,2
"10","north-carolina-state","2001-11-17","","Maryland","L (19-23)",27,41,65.9,296,2,36,103,2.9,1,77,399,5.2,13,9,0,22,4,30,2,1,3
"11","north-carolina-state","2001-11-24","","Ohio","W (27-7)",6,14,42.9,52,0,44,133,3,1,58,185,3.2,3,8,0,11,4,35,0,0,0
