"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","north-texas","2001-09-01","","Texas Christian","L (5-19)",10,16,62.5,92,1,46,106,2.3,0,62,198,3.2,5,6,4,15,7,70,1,1,2
"2","north-texas","2001-09-08","@","Oklahoma","L (10-37)",29,42,69,353,2,29,190,6.6,3,71,543,7.6,15,9,0,24,13,120,2,1,3
"3","north-texas","2001-09-22","","Texas Tech","L (14-42)",35,46,76.1,286,2,27,121,4.5,2,73,407,5.6,15,7,1,23,7,69,0,0,0
"4","north-texas","2001-09-29","@","South Florida","L (10-28)",15,24,62.5,206,0,41,126,3.1,3,65,332,5.1,9,6,0,15,7,75,1,1,2
"5","north-texas","2001-10-06","@","Louisiana-Monroe","L (17-19)",18,24,75,181,2,44,138,3.1,1,68,319,4.7,9,5,1,15,11,111,1,1,2
"6","north-texas","2001-10-13","","Middle Tennessee State","W (24-21)",19,26,73.1,171,2,36,123,3.4,1,62,294,4.7,8,14,1,23,2,30,3,1,4
"7","north-texas","2001-10-20","","Arkansas State","W (45-0)",9,21,42.9,90,0,32,67,2.1,0,53,157,3,4,3,2,9,8,85,1,2,3
"8","north-texas","2001-11-03","@","New Mexico State","W (22-20)",16,29,55.2,214,2,36,170,4.7,1,65,384,5.9,10,11,2,23,7,55,2,3,5
"9","north-texas","2001-11-10","","Louisiana","W (42-17)",35,67,52.2,344,1,20,100,5,1,87,444,5.1,15,3,3,21,12,115,1,1,2
"10","north-texas","2001-11-17","@","Idaho","W (50-27)",33,54,61.1,472,2,31,98,3.2,1,85,570,6.7,18,8,1,27,10,89,4,0,4
"11","north-texas","2001-12-01","@","Troy","L (16-18)",14,22,63.6,86,0,40,162,4.1,2,62,248,4,5,10,2,17,4,14,0,1,1
