"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","mississippi","2001-09-01","","Murray State","W (49-14)",14,30,46.7,126,0,30,126,4.2,2,60,252,4.2,8,6,1,15,5,40,0,2,2
"2","mississippi","2001-09-08","@","Auburn","L (21-27)",15,19,78.9,142,0,52,194,3.7,3,71,336,4.7,7,10,2,19,8,80,1,1,2
"3","mississippi","2001-09-29","@","Kentucky","W (42-31)",12,33,36.4,104,0,36,225,6.3,4,69,329,4.8,5,11,2,18,5,35,0,1,1
"4","mississippi","2001-10-06","@","Arkansas State","W (35-17)",9,15,60,151,1,47,241,5.1,1,62,392,6.3,6,13,0,19,5,63,1,0,1
"5","mississippi","2001-10-13","","Alabama","W (27-24)",7,24,29.2,136,2,38,227,6,1,62,363,5.9,4,11,0,15,4,17,0,1,1
"6","mississippi","2001-10-20","","Middle Tennessee State","W (45-17)",13,29,44.8,129,2,30,199,6.6,0,59,328,5.6,7,8,1,16,11,103,1,1,2
"7","mississippi","2001-10-27","@","Louisiana State","W (35-24)",9,23,39.1,183,1,39,188,4.8,1,62,371,6,7,10,1,18,5,42,2,1,3
"8","mississippi","2001-11-03","","Arkansas","L (56-58)",12,26,46.2,161,1,80,370,4.6,7,106,531,5,10,22,0,32,4,40,1,1,2
"9","mississippi","2001-11-17","","Georgia","L (15-35)",8,14,57.1,93,1,49,268,5.5,3,63,361,5.7,5,16,1,22,7,60,0,2,2
"10","mississippi","2001-11-22","@","Mississippi State","L (28-36)",14,21,66.7,263,1,45,199,4.4,4,66,462,7,9,10,2,21,11,113,0,0,0
"11","mississippi","2001-12-01","","Vanderbilt","W (38-27)",23,41,56.1,286,3,26,119,4.6,1,67,405,6,11,6,2,19,7,54,1,2,3
