"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","oregon-state","2001-09-02","@","Fresno State","L (24-44)",21,34,61.8,340,4,34,122,3.6,1,68,462,6.8,13,5,4,22,9,73,0,0,0
"2","oregon-state","2001-09-08","@","New Mexico State","W (27-22)",15,29,51.7,206,1,43,161,3.7,2,72,367,5.1,10,9,5,24,8,76,1,0,1
"3","oregon-state","2001-09-29","","UCLA","L (7-38)",14,28,50,228,2,54,268,5,3,82,496,6,6,16,0,22,6,70,1,0,1
"4","oregon-state","2001-10-06","@","Washington State","L (27-34)",16,30,53.3,137,3,54,243,4.5,0,84,380,4.5,5,16,7,28,9,80,2,2,4
"5","oregon-state","2001-10-13","","Arizona","W (38-3)",10,24,41.7,113,0,30,46,1.5,0,54,159,2.9,4,3,4,11,10,81,1,2,3
"6","oregon-state","2001-10-20","@","Arizona State","L (24-41)",9,27,33.3,208,2,44,314,7.1,3,71,522,7.4,6,13,0,19,6,45,1,1,2
"7","oregon-state","2001-10-27","","California","W (19-10)",12,32,37.5,120,0,50,225,4.5,1,82,345,4.2,6,11,2,19,10,97,2,1,3
"8","oregon-state","2001-11-03","@","Southern California","L (13-16)",21,28,75,171,0,36,33,0.9,1,64,204,3.2,9,2,0,11,4,30,0,1,1
"9","oregon-state","2001-11-10","","Washington","W (49-24)",17,41,41.5,193,1,30,88,2.9,2,71,281,4,8,7,4,19,9,78,1,1,2
"10","oregon-state","2001-11-17","","Northern Arizona","W (45-10)",11,26,42.3,93,0,41,125,3,0,67,218,3.3,4,5,1,10,3,20,1,1,2
"11","oregon-state","2001-12-01","@","Oregon","L (14-17)",11,22,50,104,0,34,105,3.1,1,56,209,3.7,5,5,0,10,2,12,1,0,1
