"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","penn-state","2001-09-01","","Miami (FL)","L (7-33)",20,27,74.1,344,3,44,258,5.9,0,71,602,8.5,16,7,0,23,14,120,1,1,2
"2","penn-state","2001-09-22","","Wisconsin","L (6-18)",10,19,52.6,114,1,66,320,4.8,1,85,434,5.1,7,18,1,26,5,40,0,1,1
"3","penn-state","2001-09-29","@","Iowa","L (18-24)",16,25,64,225,1,44,104,2.4,2,69,329,4.8,12,6,2,20,10,94,1,0,1
"4","penn-state","2001-10-06","","Michigan","L (0-20)",18,33,54.5,263,2,48,147,3.1,0,81,410,5.1,12,7,2,21,1,5,1,0,1
"5","penn-state","2001-10-20","@","Northwestern","W (38-35)",23,40,57.5,298,1,45,229,5.1,4,85,527,6.2,14,13,2,29,5,30,1,0,1
"6","penn-state","2001-10-27","","Ohio State","W (29-27)",8,21,38.1,209,1,40,203,5.1,1,61,412,6.8,5,10,0,15,6,50,1,1,2
"7","penn-state","2001-11-03","","Southern Mississippi","W (38-20)",26,47,55.3,252,0,36,151,4.2,3,83,403,4.9,13,12,2,27,4,27,0,1,1
"8","penn-state","2001-11-10","@","Illinois","L (28-33)",16,33,48.5,195,1,47,184,3.9,3,80,379,4.7,9,10,2,21,3,34,0,2,2
"9","penn-state","2001-11-17","","Indiana","W (28-14)",12,24,50,225,0,49,298,6.1,2,73,523,7.2,9,16,0,25,9,82,0,0,0
"10","penn-state","2001-11-24","@","Michigan State","W (42-37)",24,36,66.7,356,3,41,186,4.5,2,77,542,7,13,11,0,24,4,57,1,0,1
"11","penn-state","2001-12-01","@","Virginia","L (14-20)",13,23,56.5,131,0,50,188,3.8,1,73,319,4.4,9,9,1,19,8,70,0,0,0
