"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","rice","2001-09-01","@","Houston","W (21-14)",22,47,46.8,192,2,21,7,0.3,0,68,199,2.9,12,1,0,13,4,40,0,1,1
"2","rice","2001-09-08","","Duke","W (15-13)",15,26,57.7,189,1,42,139,3.3,1,68,328,4.8,8,9,1,18,7,41,2,1,3
"3","rice","2001-09-20","@","Nebraska","L (3-48)",12,15,80,205,3,53,292,5.5,4,68,497,7.3,8,16,0,24,4,46,0,0,0
"4","rice","2001-09-29","@","Hawaii","W (27-24)",30,57,52.6,390,2,23,48,2.1,1,80,438,5.5,16,4,2,22,6,59,0,4,4
"5","rice","2001-10-06","","Boise State","W (45-14)",22,34,64.7,368,1,21,36,1.7,1,55,404,7.3,13,4,0,17,5,41,2,1,3
"6","rice","2001-10-13","@","Navy","W (21-13)",10,16,62.5,125,0,51,150,2.9,1,67,275,4.1,4,9,3,16,4,39,0,0,0
"7","rice","2001-10-20","","Nevada","W (33-30)",27,45,60,431,1,45,169,3.8,1,90,600,6.7,21,10,1,32,4,25,1,1,2
"8","rice","2001-10-27","@","Louisiana Tech","L (38-41)",30,45,66.7,384,2,37,104,2.8,3,82,488,6,13,10,0,23,9,78,2,1,3
"9","rice","2001-11-03","@","Fresno State","L (24-52)",20,32,62.5,334,5,36,172,4.8,2,68,506,7.4,16,7,1,24,13,118,1,0,1
"10","rice","2001-11-10","","Tulsa","W (59-32)",23,45,51.1,245,2,39,261,6.7,3,84,506,6,13,12,2,27,5,35,1,0,1
"11","rice","2001-11-17","","Texas-El Paso","W (27-17)",16,33,48.5,227,1,21,86,4.1,1,54,313,5.8,8,4,1,13,10,81,1,2,3
"12","rice","2001-11-24","@","Southern Methodist","L (20-37)",17,31,54.8,247,3,37,141,3.8,2,68,388,5.7,10,9,1,20,6,50,0,1,1
