"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","rutgers","2001-08-30","@","Buffalo","W (31-15)",21,40,52.5,180,1,25,55,2.2,0,65,235,3.6,11,4,1,16,11,71,0,2,2
"2","rutgers","2001-09-08","@","Miami (FL)","L (0-61)",14,26,53.8,315,2,42,227,5.4,4,68,542,8,9,10,1,20,10,127,1,1,2
"3","rutgers","2001-09-22","","Virginia Tech","L (0-50)",19,27,70.4,175,4,46,223,4.8,1,73,398,5.5,10,9,4,23,8,108,1,0,1
"4","rutgers","2001-09-29","","Connecticut","L (19-20)",16,30,53.3,140,1,28,75,2.7,1,58,215,3.7,6,5,5,16,10,77,1,1,2
"5","rutgers","2001-10-06","","Syracuse","L (17-24)",7,17,41.2,100,1,48,354,7.4,2,65,454,7,3,15,1,19,7,60,1,1,2
"6","rutgers","2001-10-13","@","Temple","L (5-30)",10,23,43.5,170,2,45,193,4.3,0,68,363,5.3,7,8,1,16,10,95,2,1,3
"7","rutgers","2001-10-20","","Navy","W (23-17)",9,22,40.9,125,1,52,254,4.9,1,74,379,5.1,6,11,3,20,5,40,2,1,3
"8","rutgers","2001-11-03","@","West Virginia","L (7-80)",11,15,73.3,181,2,48,446,9.3,7,63,627,10,7,14,1,22,16,136,0,0,0
"9","rutgers","2001-11-10","","Pittsburgh","L (0-42)",19,29,65.5,330,4,38,154,4.1,2,67,484,7.2,12,11,2,25,4,20,0,0,0
"10","rutgers","2001-11-17","","Boston College","L (7-38)",14,29,48.3,176,3,56,362,6.5,2,85,538,6.3,6,17,1,24,1,5,1,2,3
"11","rutgers","2001-11-23","","California","L (10-20)",15,26,57.7,193,1,45,192,4.3,1,71,385,5.4,6,10,1,17,11,90,1,1,2
