"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","san-diego-state","2001-08-30","","Arizona","L (10-23)",21,32,65.6,176,1,37,55,1.5,1,69,231,3.3,9,8,0,17,10,76,0,1,1
"2","san-diego-state","2001-09-08","@","Arizona State","L (7-38)",27,36,75,271,4,39,154,3.9,0,75,425,5.7,12,8,4,24,11,107,1,0,1
"3","san-diego-state","2001-09-22","@","Colorado State","W (14-7)",11,30,36.7,119,1,29,93,3.2,0,59,212,3.6,3,5,1,9,5,50,0,1,1
"4","san-diego-state","2001-09-29","","Air Force","L (21-45)",7,15,46.7,120,0,66,307,4.7,6,81,427,5.3,6,17,2,25,1,10,0,0,0
"5","san-diego-state","2001-10-06","","Eastern Illinois","W (40-7)",15,28,53.6,199,1,23,27,1.2,0,51,226,4.4,7,2,0,9,5,50,0,2,2
"6","san-diego-state","2001-10-13","@","Nevada-Las Vegas","L (3-31)",12,19,63.2,153,2,56,274,4.9,1,75,427,5.7,8,14,1,23,9,74,0,1,1
"7","san-diego-state","2001-10-20","@","Ohio State","L (12-27)",15,32,46.9,198,0,40,136,3.4,4,72,334,4.6,10,7,2,19,5,35,0,1,1
"8","san-diego-state","2001-10-27","","Brigham Young","L (21-59)",19,24,79.2,266,3,37,184,5,3,61,450,7.4,9,8,3,20,4,36,2,0,2
"9","san-diego-state","2001-11-03","","New Mexico","L (15-20)",12,33,36.4,231,2,40,34,0.9,0,73,265,3.6,8,5,0,13,5,30,0,1,1
"10","san-diego-state","2001-11-10","@","Utah","L (3-17)",10,20,50,138,1,45,225,5,1,65,363,5.6,6,9,1,16,7,72,0,0,0
"11","san-diego-state","2001-11-17","","Wyoming","W (38-16)",21,40,52.5,307,0,32,57,1.8,2,72,364,5.1,11,4,2,17,8,64,3,6,9
