"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","south-carolina","2001-09-01","","Boise State","W (32-13)",18,32,56.3,162,1,26,91,3.5,1,58,253,4.4,8,5,0,13,11,88,0,1,1
"2","south-carolina","2001-09-08","@","Georgia","W (14-9)",21,35,60,169,0,39,113,2.9,0,74,282,3.8,8,10,1,19,5,25,0,2,2
"3","south-carolina","2001-09-20","@","Mississippi State","W (16-14)",27,46,58.7,261,1,34,119,3.5,1,80,380,4.8,17,6,0,23,7,57,1,1,2
"4","south-carolina","2001-09-29","","Alabama","W (37-36)",20,25,80,231,1,58,285,4.9,3,83,516,6.2,15,14,1,30,10,83,2,1,3
"5","south-carolina","2001-10-06","","Kentucky","W (42-6)",20,36,55.6,188,1,30,138,4.6,0,66,326,4.9,9,5,2,16,15,122,2,2,4
"6","south-carolina","2001-10-13","@","Arkansas","L (7-10)",8,20,40,62,1,48,162,3.4,0,68,224,3.3,5,8,1,14,5,39,0,0,0
"7","south-carolina","2001-10-20","","Vanderbilt","W (46-14)",7,20,35,126,1,28,68,2.4,1,48,194,4,4,4,0,8,7,44,0,2,2
"8","south-carolina","2001-10-27","@","Tennessee","L (10-17)",14,23,60.9,211,0,39,87,2.2,2,62,298,4.8,9,5,1,15,6,60,0,1,1
"9","south-carolina","2001-11-03","","Wofford","W (38-14)",8,14,57.1,80,0,54,207,3.8,2,68,287,4.2,4,12,1,17,6,33,1,1,2
"10","south-carolina","2001-11-10","","Florida","L (17-54)",22,34,64.7,312,4,31,170,5.5,1,65,482,7.4,13,11,2,26,4,20,1,0,1
"11","south-carolina","2001-11-17","","Clemson","W (20-15)",15,29,51.7,204,2,31,146,4.7,0,60,350,5.8,7,9,0,16,7,53,0,2,2
