"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","southern-mississippi","2001-09-01","","Oklahoma State","W (17-9)",26,38,68.4,294,0,26,45,1.7,0,64,339,5.3,12,1,3,16,4,21,4,0,4
"2","southern-mississippi","2001-09-22","@","Louisiana","W (35-10)",10,39,25.6,137,0,17,7,0.4,1,56,144,2.6,5,2,1,8,6,43,0,3,3
"3","southern-mississippi","2001-09-29","","Alabama-Birmingham","W (3-0)",16,26,61.5,141,0,34,89,2.6,0,60,230,3.8,8,6,0,14,8,68,1,2,3
"4","southern-mississippi","2001-10-06","@","Memphis","L (17-22)",14,30,46.7,103,0,34,79,2.3,1,64,182,2.8,6,4,0,10,7,46,0,0,0
"5","southern-mississippi","2001-10-16","@","Louisville","L (14-24)",17,32,53.1,186,1,44,42,1,1,76,228,3,10,7,0,17,10,53,0,0,0
"6","southern-mississippi","2001-10-27","","Houston","W (58-14)",26,56,46.4,254,1,29,102,3.5,1,85,356,4.2,14,9,1,24,2,9,2,4,6
"7","southern-mississippi","2001-11-03","@","Penn State","L (20-38)",25,39,64.1,298,2,37,145,3.9,2,76,443,5.8,16,10,0,26,4,32,0,0,0
"8","southern-mississippi","2001-11-17","","Tulane","W (59-6)",19,34,55.9,170,0,36,155,4.3,1,70,325,4.6,7,6,1,14,10,56,1,2,3
"9","southern-mississippi","2001-11-23","@","East Carolina","W (28-21)",19,29,65.5,250,1,41,109,2.7,1,70,359,5.1,11,11,3,25,7,57,4,1,5
"10","southern-mississippi","2001-11-29","@","Alabama","L (15-28)",7,19,36.8,90,2,40,221,5.5,2,59,311,5.3,4,11,1,16,6,67,2,1,3
"11","southern-mississippi","2001-12-07","","Texas Christian","L (12-14)",15,31,48.4,274,1,42,123,2.9,1,73,397,5.4,10,7,1,18,16,118,0,1,1
