"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","stanford","2001-09-08","","Boston College","W (38-22)",17,41,41.5,202,3,36,130,3.6,0,77,332,4.3,13,5,1,19,5,42,0,2,2
"2","stanford","2001-09-22","","Arizona State","W (51-28)",23,47,48.9,418,3,23,86,3.7,0,70,504,7.2,13,4,1,18,6,60,1,2,3
"3","stanford","2001-09-29","@","Southern California","W (21-16)",22,42,52.4,240,0,24,28,1.2,1,66,268,4.1,9,4,0,13,9,93,1,2,3
"4","stanford","2001-10-13","","Washington State","L (39-45)",16,31,51.6,240,3,39,114,2.9,1,70,354,5.1,9,9,2,20,3,37,1,1,2
"5","stanford","2001-10-20","@","Oregon","W (49-42)",22,42,52.4,270,3,25,145,5.8,1,67,415,6.2,12,6,0,18,7,59,0,2,2
"6","stanford","2001-10-27","","UCLA","W (38-28)",20,44,45.5,326,2,25,57,2.3,1,69,383,5.6,14,3,0,17,9,86,2,2,4
"7","stanford","2001-11-03","@","Washington","L (28-42)",15,28,53.6,291,1,39,130,3.3,5,67,421,6.3,11,8,0,19,6,39,2,0,2
"8","stanford","2001-11-10","@","Arizona","W (51-37)",25,50,50,415,2,24,163,6.8,2,74,578,7.8,17,7,0,24,6,60,4,1,5
"9","stanford","2001-11-17","","California","W (35-28)",19,46,41.3,278,1,26,82,3.2,1,72,360,5,12,3,2,17,7,51,2,2,4
"10","stanford","2001-11-24","","Notre Dame","W (17-13)",2,20,10,64,1,43,241,5.6,0,63,305,4.8,2,11,0,13,8,81,0,1,1
"11","stanford","2001-12-01","@","San Jose State","W (41-14)",21,42,50,279,2,38,30,0.8,0,80,309,3.9,12,6,2,20,2,28,1,1,2
