"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","troy","2001-09-01","@","Nebraska","L (14-42)",9,16,56.3,127,0,60,330,5.5,5,76,457,6,5,19,1,25,4,60,2,1,3
"2","troy","2001-09-08","@","Middle Tennessee State","L (17-54)",20,28,71.4,328,2,55,313,5.7,6,83,641,7.7,11,16,2,29,14,127,1,1,2
"3","troy","2001-09-22","","Nicholls State","W (26-0)",5,18,27.8,103,0,60,183,3.1,0,78,286,3.7,4,11,3,18,16,135,1,0,1
"4","troy","2001-10-06","@","Miami (FL)","L (7-38)",21,37,56.8,327,2,28,101,3.6,2,65,428,6.6,17,5,1,23,7,60,0,0,0
"5","troy","2001-10-13","@","Mississippi State","W (21-9)",13,34,38.2,144,1,47,128,2.7,0,81,272,3.4,7,11,1,19,7,56,1,3,4
"6","troy","2001-10-20","","Cal State Northridge","W (44-31)",27,47,57.4,378,4,32,81,2.5,0,79,459,5.8,13,5,2,20,5,50,0,1,1
"7","troy","2001-10-27","","Southern Utah","W (20-17)",1,9,11.1,6,0,61,231,3.8,2,70,237,3.4,1,11,1,13,7,55,1,1,2
"8","troy","2001-11-03","@","Maryland","L (14-47)",17,29,58.6,232,2,55,277,5,3,84,509,6.1,8,15,2,25,8,74,0,0,0
"9","troy","2001-11-10","@","Louisiana-Monroe","W (44-12)",9,27,33.3,142,1,22,74,3.4,0,49,216,4.4,6,4,1,11,6,46,1,5,6
"10","troy","2001-11-17","","Jacksonville State","W (21-3)",13,26,50,189,0,32,114,3.6,0,58,303,5.2,8,4,1,13,10,83,2,1,3
"11","troy","2001-12-01","","North Texas","W (18-16)",9,18,50,145,2,43,72,1.7,0,61,217,3.6,7,6,0,13,9,82,1,2,3
