"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","tulane","2001-08-25","@","Brigham Young","L (35-70)",27,33,81.8,297,3,49,437,8.9,7,82,734,9,12,17,1,30,7,68,1,0,1
"2","tulane","2001-09-01","@","Louisiana State","L (17-48)",21,31,67.7,262,2,50,232,4.6,4,81,494,6.1,13,12,0,25,5,34,2,0,2
"3","tulane","2001-09-08","","East Carolina","L (24-51)",11,22,50,220,1,45,319,7.1,4,67,539,8,9,11,1,21,10,60,0,0,0
"4","tulane","2001-09-22","","Central Florida","L (29-36)",20,29,69,338,1,44,184,4.2,4,73,522,7.2,16,11,0,27,6,37,2,1,3
"5","tulane","2001-09-29","","Southern","W (41-7)",20,38,52.6,212,1,32,143,4.5,0,70,355,5.1,10,9,1,20,8,52,3,2,5
"6","tulane","2001-10-06","@","Cincinnati","L (33-46)",22,32,68.8,312,4,50,227,4.5,2,82,539,6.6,17,11,0,28,4,27,1,0,1
"7","tulane","2001-10-13","","Texas Christian","W (48-22)",18,36,50,183,0,44,131,3,2,80,314,3.9,12,7,2,21,11,78,2,3,5
"8","tulane","2001-10-20","@","Alabama-Birmingham","L (27-34)",6,18,33.3,76,0,68,307,4.5,4,86,383,4.5,3,17,1,21,10,84,2,2,4
"9","tulane","2001-10-27","@","Army","L (35-42)",18,31,58.1,228,1,52,278,5.3,5,83,506,6.1,12,16,1,29,7,47,1,1,2
"10","tulane","2001-11-03","","Louisville","L (7-52)",20,32,62.5,245,3,42,328,7.8,4,74,573,7.7,13,13,2,28,8,72,1,0,1
"11","tulane","2001-11-10","@","Navy","W (42-28)",10,34,29.4,113,1,56,300,5.4,3,90,413,4.6,7,15,2,24,8,58,1,2,3
"12","tulane","2001-11-17","@","Southern Mississippi","L (6-59)",24,36,66.7,409,3,39,103,2.6,5,75,512,6.8,17,6,0,23,9,57,0,0,0
