"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","texas-el-paso","2001-09-01","@","New Mexico","L (6-26)",6,30,20,52,0,46,271,5.9,2,76,323,4.3,3,14,2,19,17,122,0,2,2
"2","texas-el-paso","2001-09-08","","Texas Southern","W (52-6)",7,25,28,90,1,40,116,2.9,0,65,206,3.2,3,8,3,14,7,43,2,3,5
"3","texas-el-paso","2001-09-22","@","Boise State","L (17-42)",8,13,61.5,155,3,53,224,4.2,3,66,379,5.7,5,12,3,20,4,19,2,0,2
"4","texas-el-paso","2001-09-29","","Tulsa","W (26-10)",12,24,50,218,1,27,100,3.7,0,51,318,6.2,6,5,0,11,7,47,0,2,2
"5","texas-el-paso","2001-10-06","@","Alabama","L (7-56)",15,26,57.7,228,2,53,360,6.8,6,79,588,7.4,9,17,1,27,14,121,1,0,1
"6","texas-el-paso","2001-10-13","@","Hawaii","L (7-66)",20,39,51.3,316,3,33,174,5.3,3,72,490,6.8,13,14,1,28,8,70,1,1,2
"7","texas-el-paso","2001-10-20","","San Jose State","L (28-40)",20,37,54.1,366,3,48,148,3.1,2,85,514,6,15,11,1,27,15,94,1,3,4
"8","texas-el-paso","2001-10-27","@","Southern Methodist","L (14-40)",13,18,72.2,165,1,49,261,5.3,4,67,426,6.4,7,10,2,19,12,80,2,0,2
"9","texas-el-paso","2001-11-10","","Louisiana Tech","L (30-53)",20,31,64.5,227,5,43,223,5.2,1,74,450,6.1,13,11,0,24,8,60,0,1,1
"10","texas-el-paso","2001-11-17","@","Rice","L (17-27)",6,15,40,57,0,73,293,4,3,88,350,4,3,18,3,24,5,41,0,0,0
"11","texas-el-paso","2001-11-24","","Nevada","L (31-48)",13,24,54.2,119,1,56,409,7.3,6,80,528,6.6,9,18,2,29,5,53,0,0,0
