"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","utah-state","2001-09-01","@","Utah","L (19-23)",16,33,48.5,147,0,46,213,4.6,2,79,360,4.6,6,12,1,19,5,30,1,0,1
"2","utah-state","2001-09-08","@","Louisiana State","L (14-31)",13,24,54.2,229,0,43,275,6.4,4,67,504,7.5,9,10,1,20,7,65,3,0,3
"3","utah-state","2001-09-22","","Wyoming","L (42-43)",22,38,57.9,422,2,34,166,4.9,2,72,588,8.2,18,7,3,28,4,45,0,0,0
"4","utah-state","2001-09-29","","Oregon","L (21-38)",17,24,70.8,261,2,45,289,6.4,3,69,550,8,11,14,0,25,8,80,0,0,0
"5","utah-state","2001-10-05","@","Brigham Young","L (34-54)",25,35,71.4,304,4,42,259,6.2,4,77,563,7.3,12,15,3,30,12,131,0,1,1
"6","utah-state","2001-10-20","","Idaho State","W (28-27)",17,34,50,249,2,43,116,2.7,0,77,365,4.7,11,7,1,19,6,50,0,3,3
"7","utah-state","2001-10-27","","Central Florida","W (30-27)",23,49,46.9,284,1,33,109,3.3,1,82,393,4.8,14,6,2,22,6,40,2,1,3
"8","utah-state","2001-11-10","@","Connecticut","W (38-31)",19,51,37.3,245,2,26,34,1.3,1,77,279,3.6,12,3,4,19,11,86,1,3,4
"9","utah-state","2001-11-17","","Weber State","W (56-43)",29,50,58,395,5,28,105,3.8,1,78,500,6.4,14,6,3,23,5,40,1,1,2
"10","utah-state","2001-11-24","@","South Florida","L (13-34)",15,34,44.1,132,1,24,138,5.8,1,58,270,4.7,9,5,1,15,13,111,1,1,2
"11","utah-state","2001-12-01","@","Fresno State","L (21-70)",24,31,77.4,469,6,54,244,4.5,3,85,713,8.4,18,12,2,32,13,138,0,0,0
