"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","virginia-tech","2001-09-01","","Connecticut","W (52-10)",10,29,34.5,110,0,27,74,2.7,1,56,184,3.3,3,5,2,10,5,35,0,1,1
"2","virginia-tech","2001-09-08","","Western Michigan","W (31-0)",15,31,48.4,132,0,23,34,1.5,0,54,166,3.1,6,1,0,7,13,103,0,1,1
"3","virginia-tech","2001-09-22","@","Rutgers","W (50-0)",12,24,50,70,0,38,32,0.8,0,62,102,1.6,4,2,5,11,11,78,2,4,6
"4","virginia-tech","2001-09-29","","Central Florida","W (46-14)",18,36,50,227,1,26,24,0.9,1,62,251,4,8,4,4,16,7,65,2,3,5
"5","virginia-tech","2001-10-06","@","West Virginia","W (35-0)",15,38,39.5,140,0,36,33,0.9,0,74,173,2.3,7,4,0,11,3,15,1,3,4
"6","virginia-tech","2001-10-13","","Boston College","W (34-20)",13,26,50,180,2,28,58,2.1,1,54,238,4.4,8,2,2,12,16,120,3,0,3
"7","virginia-tech","2001-10-27","","Syracuse","L (14-22)",6,17,35.3,52,0,53,168,3.2,1,70,220,3.1,3,10,1,14,7,55,0,0,0
"8","virginia-tech","2001-11-03","@","Pittsburgh","L (7-38)",16,28,57.1,245,3,44,148,3.4,1,72,393,5.5,10,10,4,24,10,70,0,1,1
"9","virginia-tech","2001-11-10","@","Temple","W (35-0)",14,45,31.1,177,0,27,60,2.2,0,72,237,3.3,10,2,1,13,8,45,2,4,6
"10","virginia-tech","2001-11-17","@","Virginia","W (31-17)",21,36,58.3,261,1,28,8,0.3,1,64,269,4.2,9,5,1,15,7,62,3,2,5
"11","virginia-tech","2001-12-01","","Miami (FL)","L (24-26)",21,44,47.7,235,1,41,149,3.6,1,85,384,4.5,13,8,2,23,10,73,2,0,2
