"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","washington","2001-09-08","","Michigan","W (23-18)",26,45,57.8,248,2,37,124,3.4,0,82,372,4.5,12,8,1,21,9,63,0,2,2
"2","washington","2001-09-22","","Idaho","W (53-3)",12,28,42.9,120,0,34,130,3.8,0,62,250,4,4,7,3,14,7,32,0,2,2
"3","washington","2001-09-29","@","California","W (31-28)",22,38,57.9,280,4,32,90,2.8,0,70,370,5.3,16,5,2,23,7,60,2,0,2
"4","washington","2001-10-06","","Southern California","W (27-24)",8,14,57.1,152,2,41,134,3.3,0,55,286,5.2,7,5,3,15,3,25,1,0,1
"5","washington","2001-10-13","@","UCLA","L (13-35)",9,19,47.4,128,0,45,325,7.2,4,64,453,7.1,7,10,2,19,5,42,3,0,3
"6","washington","2001-10-20","","Arizona","W (31-28)",16,28,57.1,195,2,44,199,4.5,2,72,394,5.5,8,12,2,22,7,55,1,1,2
"7","washington","2001-10-27","@","Arizona State","W (33-31)",17,29,58.6,320,2,37,121,3.3,2,66,441,6.7,13,7,2,22,8,69,1,1,2
"8","washington","2001-11-03","","Stanford","W (42-28)",19,34,55.9,231,0,37,180,4.9,3,71,411,5.8,10,3,3,16,8,37,0,1,1
"9","washington","2001-11-10","@","Oregon State","L (24-49)",18,28,64.3,317,2,57,180,3.2,5,85,497,5.8,13,13,4,30,7,75,3,0,3
"10","washington","2001-11-17","","Washington State","W (26-14)",22,35,62.9,227,2,30,95,3.2,0,65,322,5,9,7,5,21,9,85,3,1,4
"11","washington","2001-11-24","@","Miami (FL)","L (7-65)",15,24,62.5,202,4,37,211,5.7,4,61,413,6.8,9,12,0,21,7,46,0,1,1
