"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","west-virginia","2001-09-01","@","Boston College","L (10-34)",11,26,42.3,146,1,50,325,6.5,3,76,471,6.2,7,12,1,20,8,105,1,1,2
"2","west-virginia","2001-09-08","","Ohio","W (20-3)",5,8,62.5,87,0,58,223,3.8,0,66,310,4.7,3,11,3,17,7,44,2,0,2
"3","west-virginia","2001-09-22","","Kent State","W (34-14)",13,33,39.4,117,1,42,176,4.2,1,75,293,3.9,7,8,4,19,6,56,1,2,3
"4","west-virginia","2001-09-29","@","Maryland","L (20-32)",13,32,40.6,192,1,52,181,3.5,3,84,373,4.4,9,13,1,23,7,80,0,0,0
"5","west-virginia","2001-10-06","","Virginia Tech","L (0-35)",14,24,58.3,188,0,56,224,4,4,80,412,5.2,11,9,0,20,6,60,0,2,2
"6","west-virginia","2001-10-13","@","Notre Dame","L (24-34)",7,14,50,70,0,69,345,5,4,83,415,5,5,16,2,23,10,103,1,1,2
"7","west-virginia","2001-10-25","@","Miami (FL)","L (3-45)",19,32,59.4,224,2,35,212,6.1,3,67,436,6.5,10,7,2,19,10,76,1,1,2
"8","west-virginia","2001-11-03","","Rutgers","W (80-7)",4,15,26.7,27,0,57,150,2.6,1,72,177,2.5,1,11,3,15,7,42,4,4,8
"9","west-virginia","2001-11-10","@","Syracuse","L (13-24)",10,18,55.6,86,0,51,126,2.5,3,69,212,3.1,3,8,0,11,9,76,0,0,0
"10","west-virginia","2001-11-17","","Temple","L (14-17)",8,19,42.1,85,0,50,205,4.1,1,69,290,4.2,3,9,5,17,8,72,2,0,2
"11","west-virginia","2001-11-24","","Pittsburgh","L (17-23)",18,30,60,282,2,45,178,4,0,75,460,6.1,11,13,3,27,9,103,1,0,1
