"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","wisconsin","2001-08-25","","Virginia","W (26-17)",13,32,40.6,178,2,33,128,3.9,0,65,306,4.7,9,6,1,16,7,79,1,2,3
"2","wisconsin","2001-09-01","@","Oregon","L (28-31)",23,49,46.9,279,3,34,135,4,1,83,414,5,16,6,2,24,6,60,0,2,2
"3","wisconsin","2001-09-08","","Fresno State","L (20-32)",22,38,57.9,240,2,46,174,3.8,0,84,414,4.9,13,10,0,23,11,77,0,1,1
"4","wisconsin","2001-09-22","@","Penn State","W (18-6)",6,20,30,108,1,25,23,0.9,0,45,131,2.9,4,5,2,11,5,40,1,1,2
"5","wisconsin","2001-09-29","","Western Kentucky","W (24-6)",1,4,25,28,0,53,115,2.2,0,57,143,2.5,1,7,1,9,6,38,1,0,1
"6","wisconsin","2001-10-06","","Indiana","L (32-63)",8,13,61.5,182,1,54,449,8.3,7,67,631,9.4,6,17,0,23,9,73,1,0,1
"7","wisconsin","2001-10-13","@","Ohio State","W (20-17)",10,21,47.6,132,0,50,121,2.4,2,71,253,3.6,8,9,0,17,2,20,0,1,1
"8","wisconsin","2001-10-20","@","Illinois","L (35-42)",24,45,53.3,401,4,48,169,3.5,0,93,570,6.1,21,7,4,32,5,61,1,1,2
"9","wisconsin","2001-10-27","","Michigan State","L (28-42)",13,20,65,326,3,39,237,6.1,3,59,563,9.5,9,8,1,18,7,53,0,2,2
"10","wisconsin","2001-11-03","","Iowa","W (34-28)",16,34,47.1,213,2,26,173,6.7,2,60,386,6.4,11,7,0,18,11,81,2,1,3
"11","wisconsin","2001-11-17","","Michigan","L (17-20)",11,26,42.3,58,1,38,105,2.8,0,64,163,2.5,4,6,2,12,6,40,1,1,2
"12","wisconsin","2001-11-24","@","Minnesota","L (31-42)",18,26,69.2,269,3,43,208,4.8,3,69,477,6.9,10,10,1,21,6,32,0,1,1
