"","Team","Date","","Opponent","","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","TO"
"1","wyoming","2001-09-01","","Furman","W (20-14)",12,25,48,169,0,33,180,5.5,2,58,349,6,6,9,0,15,1,15,1,1,2
"2","wyoming","2001-09-06","","Texas A&M","L (20-28)",30,42,71.4,341,1,42,166,4,3,84,507,6,17,8,1,26,11,82,0,1,1
"3","wyoming","2001-09-22","@","Utah State","W (43-42)",31,47,66,277,4,35,294,8.4,2,82,571,7,14,15,1,30,11,122,0,0,0
"4","wyoming","2001-09-29","","Colorado State","L (14-42)",13,22,59.1,133,1,52,302,5.8,3,74,435,5.9,9,13,1,23,2,10,4,0,4
"5","wyoming","2001-10-06","","New Mexico","L (29-30)",20,30,66.7,211,1,44,131,3,0,74,342,4.6,10,7,0,17,7,58,1,1,2
"6","wyoming","2001-10-13","@","Air Force","L (13-24)",11,24,45.8,192,1,60,332,5.5,2,84,524,6.2,8,15,2,25,10,102,1,0,1
"7","wyoming","2001-10-20","@","Utah","L (0-35)",17,25,68,275,3,45,190,4.2,2,70,465,6.6,11,8,0,19,7,60,0,2,2
"8","wyoming","2001-10-27","","Nevada-Las Vegas","L (26-47)",8,17,47.1,129,3,53,439,8.3,3,70,568,8.1,5,19,1,25,9,80,1,2,3
"9","wyoming","2001-11-10","","Brigham Young","L (34-41)",23,38,60.5,268,1,41,247,6,4,79,515,6.5,16,8,0,24,6,40,3,1,4
"10","wyoming","2001-11-17","@","San Diego State","L (16-38)",12,25,48,183,1,59,199,3.4,4,84,382,4.5,7,10,3,20,9,68,1,1,2
"11","wyoming","2001-11-24","@","Kansas","L (14-27)",13,27,48.1,221,1,50,230,4.6,2,77,451,5.9,9,15,1,25,7,60,0,1,1
