"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","akron","2001-08-30","","Ohio","W (31-29)",19,24,79.2,217,0,46,290,6.3,4,70,507,7.2,12,14,1,27,3,25,2,0,2
"3","akron","2001-09-08","@","Ohio State","L (14-28)",15,32,46.9,134,1,33,114,3.5,0,65,248,3.8,6,7,1,14,1,5,1,0,1
"4","akron","2001-09-22","@","Purdue","L (14-33)",15,25,60,133,1,47,133,2.8,1,72,266,3.7,5,10,2,17,6,48,1,2,3
"5","akron","2001-09-29","","Kent State","W (14-10)",13,22,59.1,137,0,43,175,4.1,2,65,312,4.8,9,8,1,18,3,35,0,1,1
"6","akron","2001-10-06","@","Western Michigan","L (14-31)",13,27,48.1,114,0,53,241,4.5,2,80,355,4.4,6,14,0,20,11,88,0,0,0
"7","akron","2001-10-13","@","Miami (OH)","L (27-30)",21,31,67.7,309,2,42,97,2.3,0,73,406,5.6,11,6,3,20,3,33,0,0,0
"8","akron","2001-10-20","","Bowling Green State","L (11-16)",13,31,41.9,175,0,35,85,2.4,0,66,260,3.9,6,5,2,13,6,26,0,3,3
"9","akron","2001-10-27","@","Marshall","L (33-50)",24,37,64.9,272,1,51,251,4.9,2,88,523,5.9,17,11,3,31,7,58,0,1,1
"10","akron","2001-11-03","@","Central Florida","L (17-57)",11,23,47.8,174,1,43,167,3.9,1,66,341,5.2,7,9,1,17,8,76,1,1,2
"11","akron","2001-11-17","@","Buffalo","W (41-14)",13,21,61.9,155,1,54,217,4,2,75,372,5,8,13,0,21,6,47,0,0,0
"12","akron","2001-11-24","","Eastern Michigan","W (65-62)",21,33,63.6,313,2,58,219,3.8,5,91,532,5.8,14,12,1,27,4,35,1,0,1
