"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","arizona-state","2001-09-08","","San Diego State","W (38-7)",27,36,75,271,4,39,154,3.9,0,75,425,5.7,12,8,4,24,11,107,1,0,1
"3","arizona-state","2001-09-22","@","Stanford","L (28-51)",23,47,48.9,418,3,23,86,3.7,0,70,504,7.2,13,4,1,18,6,60,1,2,3
"4","arizona-state","2001-09-29","","San Jose State","W (53-15)",15,22,68.2,229,4,52,224,4.3,2,74,453,6.1,8,13,1,22,4,47,1,2,3
"5","arizona-state","2001-10-06","","Louisiana","W (63-27)",14,27,51.9,328,4,42,215,5.1,5,69,543,7.9,12,9,2,23,6,57,1,1,2
"6","arizona-state","2001-10-13","@","Southern California","L (17-48)",14,25,56,155,1,35,143,4.1,1,60,298,5,4,7,2,13,9,79,1,3,4
"7","arizona-state","2001-10-20","","Oregon State","W (41-24)",9,27,33.3,208,2,44,314,7.1,3,71,522,7.4,6,13,0,19,6,45,1,1,2
"8","arizona-state","2001-10-27","","Washington","L (31-33)",17,29,58.6,320,2,37,121,3.3,2,66,441,6.7,13,7,2,22,8,69,1,1,2
"9","arizona-state","2001-11-03","@","Oregon","L (24-42)",14,37,37.8,181,0,40,154,3.9,3,77,335,4.4,8,9,0,17,7,74,0,1,1
"10","arizona-state","2001-11-10","","Washington State","L (16-28)",13,32,40.6,299,1,42,130,3.1,1,74,429,5.8,11,7,0,18,6,59,2,1,3
"11","arizona-state","2001-11-23","","Arizona","L (21-34)",16,37,43.2,217,1,33,113,3.4,2,70,330,4.7,10,8,2,20,7,51,1,2,3
"12","arizona-state","2001-12-01","@","UCLA","L (42-52)",16,29,55.2,226,2,37,184,5,3,66,410,6.2,11,6,1,18,9,79,1,1,2
