"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","arizona","2001-08-30","@","San Diego State","W (23-10)",21,32,65.6,176,1,37,55,1.5,1,69,231,3.3,9,8,0,17,10,76,0,1,1
"3","arizona","2001-09-08","","Idaho","W (36-29)",21,35,60,310,2,36,181,5,3,71,491,6.9,10,9,3,22,8,93,1,0,1
"4","arizona","2001-09-22","","Nevada-Las Vegas","W (38-21)",19,34,55.9,256,3,37,184,5,1,71,440,6.2,15,5,4,24,6,58,2,0,2
"5","arizona","2001-09-29","","Washington State","L (21-48)",14,28,50,190,1,25,76,3,1,53,266,5,9,5,1,15,6,56,0,4,4
"6","arizona","2001-10-06","","Oregon","L (28-63)",14,31,45.2,225,3,36,258,7.2,1,67,483,7.2,11,10,3,24,3,20,3,2,5
"7","arizona","2001-10-13","@","Oregon State","L (3-38)",10,24,41.7,113,0,30,46,1.5,0,54,159,2.9,4,3,4,11,10,81,1,2,3
"8","arizona","2001-10-20","@","Washington","L (28-31)",16,28,57.1,195,2,44,199,4.5,2,72,394,5.5,8,12,2,22,7,55,1,1,2
"9","arizona","2001-10-27","","Southern California","L (34-41)",23,43,53.5,311,1,34,101,3,2,77,412,5.4,15,5,0,20,7,55,0,4,4
"10","arizona","2001-11-03","@","California","W (38-24)",19,34,55.9,337,4,39,137,3.5,1,73,474,6.5,15,4,4,23,9,87,3,1,4
"11","arizona","2001-11-10","","Stanford","L (37-51)",25,50,50,415,2,24,163,6.8,2,74,578,7.8,17,7,0,24,6,60,4,1,5
"12","arizona","2001-11-23","@","Arizona State","W (34-21)",18,29,62.1,225,2,44,163,3.7,2,73,388,5.3,14,9,2,25,7,67,0,1,1
