"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","arkansas-state","2001-09-01","@","Georgia","L (17-45)",17,32,53.1,180,1,41,143,3.5,1,73,323,4.4,6,8,4,18,7,55,0,1,1
"3","arkansas-state","2001-09-08","@","Baylor","L (3-24)",12,29,41.4,106,0,40,66,1.7,0,69,172,2.5,5,5,2,12,5,34,4,1,5
"4","arkansas-state","2001-09-22","","Jacksonville State","L (28-31)",11,27,40.7,191,3,21,142,6.8,1,48,333,6.9,5,9,1,15,7,47,0,2,2
"5","arkansas-state","2001-10-06","","Mississippi","L (17-35)",9,15,60,151,1,47,241,5.1,1,62,392,6.3,6,13,0,19,5,63,1,0,1
"6","arkansas-state","2001-10-13","","Louisiana","W (26-20)",6,18,33.3,109,0,41,120,2.9,2,59,229,3.9,4,4,2,10,8,66,0,0,0
"7","arkansas-state","2001-10-20","@","North Texas","L (0-45)",9,21,42.9,90,0,32,67,2.1,0,53,157,3,4,3,2,9,8,85,1,2,3
"8","arkansas-state","2001-10-27","","Idaho","W (34-31)",10,23,43.5,169,2,40,152,3.8,2,63,321,5.1,9,7,2,18,5,55,1,1,2
"9","arkansas-state","2001-11-03","@","Middle Tennessee State","L (6-54)",11,23,47.8,72,0,37,102,2.8,1,60,174,2.9,2,7,1,10,9,81,1,1,2
"10","arkansas-state","2001-11-10","@","New Mexico State","L (17-28)",11,23,47.8,149,0,57,270,4.7,2,80,419,5.2,6,18,1,25,6,55,1,1,2
"11","arkansas-state","2001-11-17","","Louisiana-Monroe","L (7-16)",16,34,47.1,142,0,38,106,2.8,1,72,248,3.4,9,6,0,15,4,25,1,2,3
"12","arkansas-state","2001-11-22","","Nicholls State","L (22-28)",13,30,43.3,146,2,33,201,6.1,0,63,347,5.5,5,8,2,15,6,53,0,4,4
