"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","army","2001-09-08","","Cincinnati","L (21-24)",19,30,63.3,203,1,31,160,5.2,2,61,363,6,8,7,1,16,3,25,3,1,4
"3","army","2001-09-22","@","Alabama-Birmingham","L (3-55)",21,36,58.3,191,0,21,46,2.2,0,57,237,4.2,10,3,0,13,4,32,2,4,6
"4","army","2001-09-29","@","Boston College","L (10-31)",11,29,37.9,108,1,36,154,4.3,0,65,262,4,4,7,2,13,7,68,0,2,2
"5","army","2001-10-06","","Houston","W (28-14)",15,28,53.6,168,1,46,259,5.6,3,74,427,5.8,7,14,2,23,4,37,0,0,0
"6","army","2001-10-13","","East Carolina","L (26-49)",21,38,55.3,289,1,43,153,3.6,2,81,442,5.5,17,8,0,25,9,74,1,1,2
"7","army","2001-10-20","@","Texas Christian","L (20-38)",14,27,51.9,230,2,32,97,3,1,59,327,5.5,9,3,1,13,3,20,1,0,1
"8","army","2001-10-27","","Tulane","W (42-35)",18,31,58.1,228,1,52,278,5.3,5,83,506,6.1,12,16,1,29,7,47,1,1,2
"9","army","2001-11-03","@","Air Force","L (24-34)",26,43,60.5,256,1,45,180,4,2,88,436,5,12,12,2,26,3,35,2,2,4
"10","army","2001-11-10","","Buffalo","L (19-26)",27,45,60,272,1,27,96,3.6,2,72,368,5.1,12,8,1,21,4,45,0,3,3
"11","army","2001-11-17","@","Memphis","L (10-42)",16,35,45.7,154,0,45,167,3.7,1,80,321,4,9,11,0,20,7,57,1,3,4
"12","army","2001-12-01","N","Navy","W (26-17)",8,19,42.1,119,1,52,222,4.3,1,71,341,4.8,5,10,0,15,7,49,1,4,5
