"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","ball-state","2001-09-01","@","Auburn","L (0-30)",5,17,29.4,32,0,34,60,1.8,0,51,92,1.8,3,2,0,5,5,37,1,0,1
"3","ball-state","2001-09-08","@","Kentucky","L (20-28)",19,35,54.3,170,2,51,257,5,0,86,427,5,9,16,2,27,4,33,0,0,0
"4","ball-state","2001-09-22","","Northern Iowa","L (39-42)",20,32,62.5,271,2,56,235,4.2,3,88,506,5.8,13,18,3,34,9,84,2,1,3
"5","ball-state","2001-09-29","","Miami (OH)","L (20-28)",13,29,44.8,108,2,40,170,4.3,1,69,278,4,5,8,3,16,3,31,0,2,2
"6","ball-state","2001-10-13","@","Eastern Michigan","W (35-14)",8,23,34.8,95,1,53,217,4.1,3,76,312,4.1,3,14,1,18,6,49,1,1,2
"7","ball-state","2001-10-20","","Toledo","W (24-20)",20,35,57.1,222,0,34,44,1.3,1,69,266,3.9,13,1,5,19,4,45,0,3,3
"8","ball-state","2001-10-27","@","Connecticut","W (10-5)",10,16,62.5,101,0,45,147,3.3,1,61,248,4.1,7,7,0,14,3,21,1,1,2
"9","ball-state","2001-11-03","","Central Michigan","W (38-34)",13,27,48.1,303,2,43,189,4.4,2,70,492,7,9,8,2,19,6,47,2,1,3
"10","ball-state","2001-11-10","","Kent State","L (18-31)",12,23,52.2,93,0,58,219,3.8,2,81,312,3.9,4,16,2,22,4,35,1,3,4
"11","ball-state","2001-11-17","@","Northern Illinois","L (29-33)",25,44,56.8,274,1,42,173,4.1,2,86,447,5.2,13,11,2,26,4,46,0,3,3
"12","ball-state","2001-11-24","@","Western Michigan","W (35-31)",14,24,58.3,284,3,45,100,2.2,2,69,384,5.6,11,8,1,20,4,35,1,0,1
