"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","boise-state","2001-09-01","@","South Carolina","L (13-32)",18,32,56.3,162,1,26,91,3.5,1,58,253,4.4,8,5,0,13,11,88,0,1,1
"3","boise-state","2001-09-08","","Washington State","L (20-41)",18,38,47.4,316,3,31,54,1.7,0,69,370,5.4,13,5,2,20,6,85,0,3,3
"4","boise-state","2001-09-22","","Texas-El Paso","W (42-17)",8,13,61.5,155,3,53,224,4.2,3,66,379,5.7,5,12,3,20,4,19,2,0,2
"5","boise-state","2001-09-29","@","Idaho","W (45-13)",18,24,75,328,3,41,209,5.1,3,65,537,8.3,9,14,3,26,7,73,0,0,0
"6","boise-state","2001-10-06","@","Rice","L (14-45)",22,34,64.7,368,1,21,36,1.7,1,55,404,7.3,13,4,0,17,5,41,2,1,3
"7","boise-state","2001-10-13","","Tulsa","W (41-10)",27,37,73,405,4,43,165,3.8,1,80,570,7.1,18,11,3,32,3,19,1,0,1
"8","boise-state","2001-10-19","@","Fresno State","W (35-30)",20,32,62.5,297,4,38,108,2.8,1,70,405,5.8,13,9,0,22,5,45,0,2,2
"9","boise-state","2001-10-27","","Nevada","W (49-7)",11,17,64.7,169,3,46,319,6.9,4,63,488,7.7,5,15,0,20,2,20,0,0,0
"10","boise-state","2001-11-03","@","Louisiana Tech","L (42-48)",30,49,61.2,351,3,39,155,4,2,88,506,5.8,17,11,0,28,9,73,2,2,4
"11","boise-state","2001-11-10","@","Hawaii","W (28-21)",18,32,56.3,211,1,49,187,3.8,2,81,398,4.9,12,12,1,25,8,70,1,2,3
"12","boise-state","2001-11-17","","San Jose State","W (56-6)",19,32,59.4,351,4,44,204,4.6,3,76,555,7.3,10,15,0,25,8,95,1,1,2
"13","boise-state","2001-11-24","","Central Michigan","W (26-10)",13,27,48.1,191,1,64,277,4.3,2,91,468,5.1,9,16,1,26,4,40,2,1,3
