"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","bowling-green-state","2001-09-01","@","Missouri","W (20-13)",15,24,62.5,148,1,45,194,4.3,2,69,342,5,8,11,0,19,9,86,0,1,1
"3","bowling-green-state","2001-09-08","","Buffalo","W (35-0)",15,26,57.7,133,1,50,184,3.7,4,76,317,4.2,8,10,1,19,6,45,0,0,0
"4","bowling-green-state","2001-09-22","","Temple","W (42-23)",18,35,51.4,194,2,28,54,1.9,1,63,248,3.9,8,3,3,14,3,36,1,2,3
"5","bowling-green-state","2001-09-29","@","Marshall","L (31-37)",16,30,53.3,264,3,33,119,3.6,0,63,383,6.1,9,7,1,17,5,40,0,2,2
"6","bowling-green-state","2001-10-06","","Kent State","W (24-7)",27,42,64.3,214,2,58,200,3.4,1,100,414,4.1,12,13,3,28,4,40,0,2,2
"7","bowling-green-state","2001-10-13","@","Western Michigan","L (28-37)",20,33,60.6,202,1,43,217,5,3,76,419,5.5,13,10,1,24,7,90,2,3,5
"8","bowling-green-state","2001-10-20","@","Akron","W (16-11)",13,22,59.1,133,1,45,131,2.9,1,67,264,3.9,6,7,2,15,6,51,1,0,1
"9","bowling-green-state","2001-11-03","","Miami (OH)","L (21-24)",14,30,46.7,185,1,39,127,3.3,1,69,312,4.5,9,9,3,21,3,29,0,1,1
"10","bowling-green-state","2001-11-10","@","Ohio","W (17-0)",13,22,59.1,156,1,57,244,4.3,1,79,400,5.1,7,14,0,21,8,59,0,2,2
"11","bowling-green-state","2001-11-17","@","Northwestern","W (43-42)",36,53,67.9,472,4,33,146,4.4,2,86,618,7.2,23,7,2,32,8,74,1,0,1
"12","bowling-green-state","2001-11-23","","Toledo","W (56-21)",20,32,62.5,286,4,54,211,3.9,3,86,497,5.8,11,11,3,25,6,44,0,0,0
