"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","clemson","2001-09-01","","Central Florida","W (21-13)",15,25,60,154,1,42,138,3.3,2,67,292,4.4,9,7,1,17,7,53,2,0,2
"3","clemson","2001-09-08","","Wofford","W (38-14)",26,37,70.3,283,2,41,200,4.9,2,78,483,6.2,16,13,0,29,4,35,1,2,3
"4","clemson","2001-09-22","","Virginia","L (24-26)",25,34,73.5,251,0,51,182,3.6,3,85,433,5.1,13,13,3,29,8,81,1,2,3
"5","clemson","2001-09-29","@","Georgia Tech","W (47-44)",18,32,56.3,254,2,52,248,4.8,5,84,502,6,10,16,1,27,11,108,1,0,1
"6","clemson","2001-10-13","@","North Carolina State","W (45-37)",23,27,85.2,333,4,52,234,4.5,2,79,567,7.2,13,12,3,28,20,181,2,0,2
"7","clemson","2001-10-20","","North Carolina","L (3-38)",14,46,30.4,144,0,28,65,2.3,0,74,209,2.8,5,8,5,18,9,76,0,2,2
"8","clemson","2001-10-27","@","Wake Forest","W (21-14)",16,27,59.3,211,2,41,177,4.3,1,68,388,5.7,8,11,0,19,8,71,1,0,1
"9","clemson","2001-11-03","","Florida State","L (27-41)",22,41,53.7,277,0,45,186,4.1,3,86,463,5.4,10,16,0,26,8,51,0,1,1
"10","clemson","2001-11-10","@","Maryland","L (20-37)",18,37,48.6,218,1,35,123,3.5,0,72,341,4.7,11,9,0,20,11,79,0,4,4
"11","clemson","2001-11-17","@","South Carolina","L (15-20)",15,29,51.7,204,2,31,146,4.7,0,60,350,5.8,7,9,0,16,7,53,0,2,2
"12","clemson","2001-12-01","","Duke","W (59-31)",18,31,58.1,280,4,45,328,7.3,4,76,608,8,8,15,2,25,4,42,1,1,2
