"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","colorado-state","2001-09-01","N","Colorado","L (14-41)",18,40,45,186,2,29,108,3.7,0,69,294,4.3,10,6,2,18,6,40,0,4,4
"3","colorado-state","2001-09-08","","Nevada","W (35-18)",11,20,55,235,2,39,182,4.7,3,59,417,7.1,7,8,1,16,7,60,2,1,3
"4","colorado-state","2001-09-22","","San Diego State","L (7-14)",11,30,36.7,119,1,29,93,3.2,0,59,212,3.6,3,5,1,9,5,50,0,1,1
"5","colorado-state","2001-09-29","@","Wyoming","W (42-14)",13,22,59.1,133,1,52,302,5.8,3,74,435,5.9,9,13,1,23,2,10,4,0,4
"6","colorado-state","2001-10-04","@","Louisville","L (2-7)",10,23,43.5,87,0,37,61,1.6,0,60,148,2.5,3,7,1,11,8,50,1,3,4
"7","colorado-state","2001-10-13","","Fresno State","L (22-25)",13,24,54.2,116,1,52,322,6.2,2,76,438,5.8,6,14,1,21,8,53,0,0,0
"8","colorado-state","2001-10-20","@","Nevada-Las Vegas","W (26-24)",9,21,42.9,168,1,41,151,3.7,1,62,319,5.1,7,5,2,14,3,46,2,1,3
"9","colorado-state","2001-10-27","","Utah","W (19-17)",11,24,45.8,201,1,44,123,2.8,1,68,324,4.8,7,6,0,13,4,34,0,0,0
"10","colorado-state","2001-11-01","@","Brigham Young","L (34-56)",12,26,46.2,158,1,58,440,7.6,2,84,598,7.1,7,19,3,29,6,48,1,3,4
"11","colorado-state","2001-11-08","","Air Force","W (28-21)",6,8,75,116,0,35,184,5.3,3,43,300,7,4,9,0,13,3,30,1,1,2
"12","colorado-state","2001-11-17","@","New Mexico","W (24-17)",11,23,47.8,171,1,43,128,3,1,66,299,4.5,8,7,0,15,6,55,1,0,1
