"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","connecticut","2001-09-01","@","Virginia Tech","L (10-52)",10,29,34.5,110,0,27,74,2.7,1,56,184,3.3,3,5,2,10,5,35,0,1,1
"3","connecticut","2001-09-08","","Eastern Washington","L (17-35)",9,21,42.9,104,0,40,90,2.3,2,61,194,3.2,5,5,5,15,6,61,0,1,1
"4","connecticut","2001-09-22","","Buffalo","L (20-37)",7,22,31.8,106,1,35,115,3.3,0,57,221,3.9,3,7,1,11,9,93,0,3,3
"5","connecticut","2001-09-29","@","Rutgers","W (20-19)",16,30,53.3,140,1,28,75,2.7,1,58,215,3.7,6,5,5,16,10,77,1,1,2
"6","connecticut","2001-10-06","","Eastern Michigan","W (19-0)",14,32,43.8,180,1,40,108,2.7,1,72,288,4,10,5,2,17,9,75,0,1,1
"7","connecticut","2001-10-13","@","South Florida","L (21-40)",22,42,52.4,209,1,38,135,3.6,2,80,344,4.3,12,8,4,24,12,121,2,1,3
"8","connecticut","2001-10-27","","Ball State","L (5-10)",22,39,56.4,189,0,27,52,1.9,0,66,241,3.7,12,4,1,17,2,10,1,1,2
"9","connecticut","2001-11-03","@","Cincinnati","L (28-45)",27,51,52.9,382,3,25,28,1.1,1,76,410,5.4,17,2,1,20,5,28,2,3,5
"10","connecticut","2001-11-10","","Utah State","L (31-38)",19,51,37.3,245,2,26,34,1.3,1,77,279,3.6,12,3,4,19,11,86,1,3,4
"11","connecticut","2001-11-17","@","Middle Tennessee State","L (14-38)",11,31,35.5,102,1,42,118,2.8,0,73,220,3,4,10,3,17,3,29,1,0,1
"12","connecticut","2001-11-24","@","Temple","L (7-56)",12,28,42.9,90,0,36,23,0.6,1,64,113,1.8,3,4,0,7,3,35,1,2,3
