"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","duke","2001-09-01","","Florida State","L (13-55)",13,30,43.3,194,1,36,32,0.9,0,66,226,3.4,7,1,1,9,8,62,1,0,1
"3","duke","2001-09-08","@","Rice","L (13-15)",15,26,57.7,189,1,42,139,3.3,1,68,328,4.8,8,9,1,18,7,41,2,1,3
"4","duke","2001-09-22","","Northwestern","L (7-44)",17,36,47.2,171,1,32,137,4.3,0,68,308,4.5,6,8,2,16,2,15,0,4,4
"5","duke","2001-09-29","@","Virginia","L (10-31)",17,36,47.2,191,0,37,123,3.3,1,73,314,4.3,10,8,5,23,10,116,0,1,1
"6","duke","2001-10-06","","Georgia Tech","L (10-37)",11,29,37.9,201,0,37,102,2.8,1,66,303,4.6,7,4,0,11,9,65,2,0,2
"7","duke","2001-10-13","","Wake Forest","L (35-42)",21,36,58.3,251,1,33,81,2.5,3,69,332,4.8,11,7,1,19,7,48,1,3,4
"8","duke","2001-10-20","@","Maryland","L (17-59)",13,32,40.6,163,1,35,133,3.8,1,67,296,4.4,7,9,2,18,3,15,1,3,4
"9","duke","2001-10-27","","Vanderbilt","L (28-42)",20,37,54.1,299,2,57,238,4.2,2,94,537,5.7,13,14,1,28,7,55,1,4,5
"10","duke","2001-11-03","","North Carolina State","L (31-55)",31,54,57.4,400,2,44,117,2.7,2,98,517,5.3,22,10,3,35,8,67,2,1,3
"11","duke","2001-11-17","@","North Carolina","L (17-52)",13,33,39.4,172,0,36,59,1.6,2,69,231,3.3,6,4,1,11,7,54,0,0,0
"12","duke","2001-12-01","@","Clemson","L (31-59)",24,57,42.1,312,3,29,82,2.8,1,86,394,4.6,12,6,1,19,5,46,1,2,3
