"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","east-carolina","2001-09-01","","Wake Forest","L (19-21)",18,35,51.4,231,1,25,63,2.5,2,60,294,4.9,11,5,1,17,7,60,1,2,3
"3","east-carolina","2001-09-08","@","Tulane","W (51-24)",11,22,50,220,1,45,319,7.1,4,67,539,8,9,11,1,21,10,60,0,0,0
"4","east-carolina","2001-09-22","","William & Mary","W (38-23)",12,24,50,245,3,29,199,6.9,2,53,444,8.4,7,11,0,18,11,101,1,1,2
"5","east-carolina","2001-09-29","@","Syracuse","L (30-44)",17,34,50,192,2,37,275,7.4,2,71,467,6.6,9,8,2,19,4,55,2,2,4
"6","east-carolina","2001-10-06","@","North Carolina","L (21-24)",9,23,39.1,109,1,37,190,5.1,1,60,299,5,4,9,1,14,4,27,1,1,2
"7","east-carolina","2001-10-13","@","Army","W (49-26)",13,22,59.1,178,1,42,263,6.3,3,64,441,6.9,8,13,3,24,8,56,1,0,1
"8","east-carolina","2001-10-20","","Memphis","W (32-11)",20,26,76.9,268,1,57,205,3.6,2,83,473,5.7,14,13,1,28,5,43,0,0,0
"9","east-carolina","2001-10-30","@","Texas Christian","W (37-30)",15,30,50,221,2,28,130,4.6,3,58,351,6.1,8,9,2,19,3,17,3,0,3
"10","east-carolina","2001-11-10","@","Cincinnati","W (28-26)",12,19,63.2,159,1,39,305,7.8,3,58,464,8,8,8,0,16,7,60,2,1,3
"11","east-carolina","2001-11-15","","Louisville","L (34-39)",21,34,61.8,284,1,37,167,4.5,4,71,451,6.4,10,11,3,24,6,37,1,2,3
"12","east-carolina","2001-11-23","","Southern Mississippi","L (21-28)",19,29,65.5,250,1,41,109,2.7,1,70,359,5.1,11,11,3,25,7,57,4,1,5
