"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","eastern-michigan","2001-09-01","","Southeast Missouri State","W (16-12)",16,38,42.1,191,0,37,159,4.3,1,75,350,4.7,8,9,1,18,10,80,1,1,2
"3","eastern-michigan","2001-09-08","@","Maryland","L (3-50)",15,30,50,100,0,29,24,0.8,0,59,124,2.1,6,2,1,9,5,46,0,2,2
"4","eastern-michigan","2001-09-22","","Indiana State","L (14-21)",16,33,48.5,179,1,31,89,2.9,0,64,268,4.2,6,8,1,15,7,59,0,0,0
"5","eastern-michigan","2001-09-29","","Western Michigan","L (10-31)",16,29,55.2,93,1,38,146,3.8,0,67,239,3.6,3,8,3,14,4,30,2,1,3
"6","eastern-michigan","2001-10-06","@","Connecticut","L (0-19)",20,40,50,160,0,28,31,1.1,0,68,191,2.8,10,2,0,12,9,64,2,2,4
"7","eastern-michigan","2001-10-13","","Ball State","L (14-35)",19,41,46.3,193,2,34,160,4.7,0,75,353,4.7,8,8,1,17,5,54,1,2,3
"8","eastern-michigan","2001-10-27","","Buffalo","W (24-20)",16,25,64,155,2,43,225,5.2,1,68,380,5.6,10,12,0,22,6,44,1,0,1
"9","eastern-michigan","2001-11-03","@","Northern Illinois","L (17-40)",21,38,55.3,225,0,33,58,1.8,2,71,283,4,12,5,2,19,4,56,0,3,3
"10","eastern-michigan","2001-11-10","@","Central Michigan","L (30-35)",23,50,46,321,3,41,187,4.6,1,91,508,5.6,16,8,1,25,12,104,0,0,0
"11","eastern-michigan","2001-11-17","@","Toledo","L (7-28)",13,30,43.3,102,0,23,8,0.3,1,53,110,2.1,3,2,3,8,4,25,0,0,0
"12","eastern-michigan","2001-11-24","@","Akron","L (62-65)",27,50,54,392,6,36,111,3.1,2,86,503,5.8,21,5,0,26,6,49,0,3,3
